file,sku,handle,title,rule
master_nutrients.csv,,ona-pro-gel-1-gal,ONA Pro Gel (1 gal),ONA is odor control brand
master_nutrients.csv,,ona-gel-fresh-linen-1-gal,ONA Gel Fresh Linen (1 gal),ONA is odor control brand
master_nutrients.csv,,ona-pro-gel-1-qt,ONA Pro Gel (1 qt),ONA is odor control brand
master_nutrients.csv,,ona-pro-gel-bucket-5-gal,ONA Pro Gel Bucket (5 gal),ONA is odor control brand
master_nutrients.csv,,ona-gel-fresh-linen-1-qt,ONA Gel Fresh Linen (1 qt),ONA is odor control brand
master_nutrients.csv,,ona-liquid-polar-crystal-1-gal,ONA Liquid Polar Crystal (1 gal),ONA is odor control brand
master_nutrients.csv,,ona-pro-gel-pail-1-gal,Ona Pro Gel Pail (1 Gal),ONA is odor control brand
master_nutrients.csv,,ona-liquid-polar-crystal-1-qt,ONA Liquid Polar Crystal (1 qt),ONA is odor control brand
master_nutrients.csv,,ona-gel-fresh-linen-bucket-5-gal,ONA Gel Fresh Linen Bucket (5 gal),ONA is odor control brand
master_nutrients.csv,,ona-gel-fresh-linen-pail-1gal,ONA Gel Fresh Linen Pail (1Gal),ONA is odor control brand
master_containers_pots.csv,,ona-pro-gel-bucket-5-gal,ONA Pro Gel Bucket (5 gal),ONA is odor control brand
master_containers_pots.csv,,ona-pro-gel-pail-1-gal,Ona Pro Gel Pail (1 Gal),ONA is odor control brand
master_containers_pots.csv,,ona-gel-fresh-linen-bucket-5-gal,ONA Gel Fresh Linen Bucket (5 gal),ONA is odor control brand
master_containers_pots.csv,,ona-gel-fresh-linen-pail-1gal,ONA Gel Fresh Linen Pail (1Gal),ONA is odor control brand
master_nutrients.csv,,the-root-pouch-1-gallon,The Root Pouch 1 Gallon,Root Pouch is container brand
master_nutrients.csv,,standard-3-5-gallon-black-bucket,standard 3.5 gallon black bucket,Generic bucket is container
master_nutrients.csv,,standard-5-gallon-black-bucket,Standard 5 Gallon Black Bucket,Generic bucket is container