source_file,line_number,issue,suggested_fix,raw_line
"master_grow_media.csv",18,"Title contains HTML or garbage characters","Clean HTML tags from title field","FAQPage:[],FAQPage:[],""high-quality growing medium that supports healthy root development and vigorous growth. Elevate your cultivation experience with SCIETETICS COCO.,<p><br data-mce-bogus=1></p>,20..."
"master_harvesting.csv",26,"Field count mismatch: expected 19, got 3","Check for unescaped quotes or commas in field values","3043,rosin-press-pneumatic-20-6-x8-2-800-lbs-preasure-needs-air-preasure,""ROSIN PRESS Pneumatic 20 6""""X8""""/2,800 lbs preasure"
"master_harvesting.csv",27,"Field count mismatch: expected 19, got 3","Check for unescaped quotes or commas in field values","NEEDS AIR PREASURE"",ROSIN PRESS,ROSIN PRESS,rosin_press,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,""needs_images, needs_description, needs_specs"""
"master_harvesting.csv",29,"Empty or minimal title","Populate title from handle or skip row","2714,,,Shear Perfection,Shear Perfection,other,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,""needs_images, needs_description, needs_specs"""
"master_irrigation.csv",175,"Field count mismatch: expected 16, got 3","Check for unescaped quotes or commas in field values","2472,irrigation-octa-bubbler-6-gph-8-outlets,Irrigation Octa-Bubbler 6 gph"
"master_irrigation.csv",176,"Field count mismatch: expected 16, got 3","Check for unescaped quotes or commas in field values","""8 outlets,,,other,,,6 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,needs_images"", needs_description, needs_classification"
"master_odor_control.csv",80,"Field count mismatch: expected 16, got 3","Check for unescaped quotes or commas in field values","2669,mufflers-are-used-to-reduce-outlet-or-inlet-noise-available-in-2-sizes-the-original-sized-muffler-will-fit-your-8-12-fans-and-the-new-mini-muffler-will-fit-your-4-8-fans-original-muffler-diameter..."
"master_odor_control.csv",81,"Field count mismatch: expected 16, got 1","Check for unescaped quotes or commas in field values","Original Muffler:"
"master_odor_control.csv",82,"Field count mismatch: expected 16, got 1","Check for unescaped quotes or commas in field values","Diameter: 14.5"
"master_odor_control.csv",83,"Field count mismatch: expected 16, got 1","Check for unescaped quotes or commas in field values","Length: 46"
"master_odor_control.csv",84,"Field count mismatch: expected 16, got 1","Check for unescaped quotes or commas in field values","Insulation Bed Depth: 2.5"
"master_odor_control.csv",85,"Field count mismatch: expected 16, got 1","Check for unescaped quotes or commas in field values","Mini Muffler:"
"master_odor_control.csv",86,"Field count mismatch: expected 16, got 1","Check for unescaped quotes or commas in field values","Diameter: 11 7/8"
"master_odor_control.csv",87,"Field count mismatch: expected 16, got 1","Check for unescaped quotes or commas in field values","Length: 24"
"master_odor_control.csv",88,"Field count mismatch: expected 16, got 3","Check for unescaped quotes or commas in field values","""Insulation Bed Depth: 2"""",Can-Filter,Can-Filter,other,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,needs_images"", needs_description, needs_classification"
"master_odor_control.csv",90,"Empty or minimal title","Populate title from handle or skip row","2799,,,ONA,ONA,other,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,""needs_images, needs_description, needs_classification"""
"master_propagation.csv",61,"Field count mismatch: expected 16, got 3","Check for unescaped quotes or commas in field values","2892,clonex-mist-300-gram-boost-propagation,Clonex Mist 300 gram"
"master_propagation.csv",62,"Field count mismatch: expected 16, got 3","Check for unescaped quotes or commas in field values","""Boost propagation,Clonex,,other,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,needs_images"", needs_description, needs_classification"
"master_seeds.csv",54,"Field count mismatch: expected 15, got 3","Check for unescaped quotes or commas in field values","2755,a-biological-inoculum-containing-a-wide-diversity-of-endo-and-ecto-mycorrhizal-fungi-that-colonize-plant-roots-these-beneficial-fungi-form-a-fine-network-of-thread-like-strands-that-serve-as-an-e..."
"master_seeds.csv",55,"Field count mismatch: expected 15, got 1","Check for unescaped quotes or commas in field values","These beneficial fungi form a fine network of thread-like strands that serve as an extension of the plant’s root system."
"master_seeds.csv",56,"Field count mismatch: expected 15, got 2","Check for unescaped quotes or commas in field values","Use on any type of plant and with any growing method - soil, or hydroponic. SubCulture-M can be applied throughout the life of your plants from seed germination through harvest."
"master_seeds.csv",57,"Field count mismatch: expected 15, got 1","Check for unescaped quotes or commas in field values","It may be used with SubCulture-B to create a diverse microbial community beneficial for plant health."",General Hydroponics,General Hydroponics,""A biological inoculum containing a wide diversity of end..."
"master_seeds.csv",58,"Field count mismatch: expected 15, got 1","Check for unescaped quotes or commas in field values","These beneficial fungi form a fine network of thread-like strands that serve as an extension of the plant’s root system."
"master_seeds.csv",59,"Field count mismatch: expected 15, got 2","Check for unescaped quotes or commas in field values","Use on any type of plant and with any growing method - soil, or hydroponic. SubCulture-M can be applied throughout the life of your plants from seed germination through harvest."
"master_seeds.csv",60,"Field count mismatch: expected 15, got 4","Check for unescaped quotes or commas in field values","It may be used with SubCulture-B to create a diverse microbial community beneficial for plant health."",unknown,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,""needs_images, needs_description, needs_type, needs..."
"master_seeds.csv",62,"Field count mismatch: expected 15, got 3","Check for unescaped quotes or commas in field values","1963,diy-autoflowering-cannabis-by-jeff-lowenfels,""DIY Autoflowering Cannabis"
"master_seeds.csv",63,"Field count mismatch: expected 15, got 1","Check for unescaped quotes or commas in field values","by Jeff Lowenfels"",,,""DIY Autoflowering Cannabis"
"master_seeds.csv",64,"Field count mismatch: expected 15, got 3","Check for unescaped quotes or commas in field values","by Jeff Lowenfels"",autoflower,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,""needs_images, needs_description, needs_pack_size"""
"uncategorized_candidates.csv",99,"Garbage/malformed data detected","Re-parse source CSV or exclude row","""There are specific photoreceptors for UV-B and UV-A that plants use to sense and learn about the environment around them and to regulate internal proceses based on this information. UV exposure at th..."