handle,title,sku,price,vendor,brand,category,tags,source
"teaming-with-fungi-the-organic-growers-guide-to-mycorrhizae","TEAMING WITH FUNGI The Organic Growers Guide to Mycorrhizae","","24.95","H Moon Hydro","H Moon Hydro","Books & Educational","","shopify"
"teaming-with-microbes","Teaming with Microbes","hmh00001","24.95","H Moon Hydro","H Moon Hydro","Books & Educational","","shopify"
"teaming-with-nutrients","Teaming with Nutrients","","24.95","H Moon Hydro","H Moon Hydro","Books & Educational","ORGANIC","shopify"
"spin-pro-manual-trimmer","Spin Pro Manual Trimmer","hmh00770","199.00","H Moon Hydro","H Moon Hydro","Books & Educational","","shopify"
"rosin-pro-press-co-manual-2","ROSIN PRO PRESS CO. Manual","hmh01775","950.00","H Moon Hydro","H Moon Hydro","Books & Educational","","shopify"
"Contrary to many peopleâ€™s first impression","the Source Turbo is the most affordable option for at-home extraction","","","safe and easy home operation","safe and easy home operation","Books & Educational","and loads of fun experimenting with unlimited crafting possibilities.,H Moon Hydro,,simple,THE SOURCE TURBO,false,Title,Default Title,,,,,,,,,425.242846875,,0,deny,manual,600.00,659.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/turbo.webp?v=1761678978,1,"",false,,,,oz,,,active","shopify"
"Yes,H Moon Hydro,,simple,208-400V","Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC,false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,1099.00,1139.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/dutch-lighting-innovations-diode-series-led-multilayer-600-fs-dc-208-400v.webp?v=1761678863,1,Foldable design Plug & play principle The Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC is an innovative","","","easy to transport","easy to transport","Books & Educational","","shopify"
"The fixture is fully compatible with all other products in our portfolio. This fixture communicates perfectly with the DLI controller","allowing you to easily replace or extend your existing installation with this new fixture.,H Moon Hydro,,simple,LED Multilayer 630 FS-DC,false,Title,Default Title,,,,,,,,,918.52454925,,0,deny,manual,659.00,729.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/e-pap-660-led.jpg?v=1761678862,1,"",false,,,,oz,,,active","","","","Unknown","Books & Educational","","shopify"
"cannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-compl","Cannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp Cultivation","","34.95","H Moon Hydro","H Moon Hydro","Books & Educational","","shopify"
"This clip fan features a robust EC motor specially redesigned in size and construction to lengthen the oscillation lifespan. Its clamp is re-engineered with a compact metal build that saves space in your grow tent and uses a vise grip-like design for greater security on tent poles. Other reinforced features include a brushless motor design","resilient carbon steel gears","","","10-Level Dynamic Wind Modes & Fan Speeds","10-Level Dynamic Wind Modes & Fan Speeds","Books & Educational","","shopify"
"1.5cu ft - Bag - Blend of Fine Coir","Coarse Peat","","","","Unknown","Books & Educational","","shopify"