Variant SKU,Handle,Title,POS Item Number,Alt1 Item Number,Match Score,Alt1 Score,Score Gap,Review Status,Review Notes,Status Reason,Best Metric Advantage Count,Alt Metric Advantage Count,Heuristic Signals,Recommended Action,Recommendation Rationale
hmh00824,1-1-4-grommet-bag-of-10,"1 1/4"" Grommet (bag of 10)",788,789,0.677,0.676,0.0010000000000000009,manual-alt-stronger,Needs review: close alt 789 (Δ=0.001),token overlap: best 1 >= alt 1.0; number overlap: alt 2.0 > best 1; size overlap: best 0 >= alt 0.0; price delta: alt 0.8891 closer than best 0.9114; fuzzy ratio: best 0.2857142857142857 >= alt 0.2833333333333333,3,2,fuzzy ratio: best 0.2857142857142857 >= alt 0.2833333333333333; number overlap: alt 2.0 > best 1; price delta: alt 0.8891 closer than best 0.9114; size overlap: best 0 >= alt 0.0; token overlap: best 1 >= alt 1.0,switch,Alt offers closer price alignment with similar score.
hmh01544,100-ft-black-white-panda-film-poly,100 ft. Black & White Panda Film (poly),2634,1378,0.771,0.771,0.0,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,switch,Score gap ≤ 0.005; recommend alt for closer fit.
hmh00855,1000-w-hps-alto-agrolite-xt-140000-lumens,1000 W HPS Alto Agrolite XT 140000 lumens,1493,1504,0.632,0.631,0.0010000000000000009,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,switch,Score gap ≤ 0.005; recommend alt for closer fit.
hmh00833,4-76-gallon-bucket-no-handle,4.76 Gallon Bucket - No Handle,2398,3658,0.642,0.626,0.016000000000000014,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,keep,Score gap 0.016 exceeds 0.015 threshold.
hmh01709,badboy-ho-t-5-triphosphor-bloom-54w-2900k,BadBoy HO T-5 Triphosphor Bloom 54W 2900K,3137,3281,0.656,0.654,0.0020000000000000018,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,switch,Score gap ≤ 0.005; recommend alt for closer fit.
hmh00533,badboy-t-5-4-ft-6-lamp-fixture-324-w,BADBOY T-5 4 ft - 6 Lamp Fixture 324 W,773,777,0.692,0.69,0.0020000000000000018,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,switch,Score gap ≤ 0.005; recommend alt for closer fit.
hmh00534,badboy-t-5-4-ft-8-lamp-fixture-432-w,BADBOY T-5 4 ft - 8 Lamp Fixture 432 W,773,775,0.692,0.685,0.006999999999999895,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,keep,Moderate score gap; maintain current pairing pending review.
hmh00261,bcuzz-bio-nrg-growth-c-1l,B'Cuzz BIO-NRG Growth-C 1L,135,1069,0.743,0.702,0.041000000000000036,manual-alt-stronger,Verify vs alt 1069 (score 0.702),token overlap: alt 3.0 > best 2; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best 0.0228 <= alt 0.0228; fuzzy ratio: best 0.5426356589147286 >= alt 0.3676470588235294,4,1,fuzzy ratio: best 0.5426356589147286 >= alt 0.3676470588235294; number overlap: best 0 >= alt 0.0; price delta: best 0.0228 <= alt 0.0228; size overlap: best 0 >= alt 0.0; token overlap: alt 3.0 > best 2,keep,Score gap 0.041 provides margin over alt.
hmh01226,bcuzz-coco-nutrition-componet-a-1l,B'Cuzz CoCo Nutrition Componet A 1L,2098,2097,0.702,0.693,0.009000000000000008,manual-alt-stronger,Needs review: close alt 2097 (Δ=0.009),token overlap: best 3 >= alt 3.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best 0.0000 <= alt 0.0056; fuzzy ratio: alt 0.532608695652174 > best 0.4971751412429379,4,1,fuzzy ratio: alt 0.532608695652174 > best 0.4971751412429379; number overlap: best 0 >= alt 0.0; price delta: best 0.0000 <= alt 0.0056; size overlap: best 0 >= alt 0.0; token overlap: best 3 >= alt 3.0,keep,Best candidate retains overall advantage.
hmh01228,bcuzz-coco-nutrition-componet-a-5l,B'Cuzz CoCo Nutrition Componet A 5L,1072,2098,0.731,0.727,0.0040000000000000036,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,switch,Score gap ≤ 0.005; recommend alt for closer fit.
hmh01229,bcuzz-coco-nutrition-componet-b-5l,B'Cuzz CoCo Nutrition Componet B 5L,2098,1073,0.739,0.731,0.008000000000000007,manual-review,auto-resolved: text similarity,Needs human confirmation,0,0,,keep,Moderate score gap; maintain current pairing pending review.
hmh00276,bcuzz-growth-stimulator-12oz,B'Cuzz Growth Stimulator - 12oz,135,1185,0.777,0.762,0.015000000000000013,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,keep,Score gap 0.015 exceeds 0.015 threshold.
,bloom-grease-fermented-flowering-plant-juice,Bloom Grease * Fermented Flowering Plant Juice,365,3649,0.685,0.649,0.03600000000000003,manual-alt-stronger,Verify vs alt 3649 (score 0.649),token overlap: best 2 >= alt 2.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best inf <= alt inf; fuzzy ratio: alt 0.4415584415584415 > best 0.4331210191082802,4,1,fuzzy ratio: alt 0.4415584415584415 > best 0.4331210191082802; number overlap: best 0 >= alt 0.0; price delta: best inf <= alt inf; size overlap: best 0 >= alt 0.0; token overlap: best 2 >= alt 2.0,keep,Score gap 0.036 provides margin over alt.
hmh01713,eye-hortilux-e-start-metal-halide-lamps-2,Eye Hortilux e-Start Metal Halide Lamps,2649,1744,0.64,0.626,0.014000000000000012,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,keep,Moderate score gap; maintain current pairing pending review.
hmh01038,final-phase-1-lt,Final Phase (1 lt),266,255,0.741,0.733,0.008000000000000007,manual-review,auto-resolved: token overlap,Needs human confirmation,0,0,,keep,Moderate score gap; maintain current pairing pending review.
hmh00180,flora-bloom-16-oz,Flora Bloom 16 oz,29,3154,0.773,0.755,0.018000000000000016,manual-alt-stronger,Needs review: close alt 3154 (Δ=0.018),token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.1290 closer than best 0.1540; fuzzy ratio: best 0.4 >= alt 0.3673469387755102,4,1,fuzzy ratio: best 0.4 >= alt 0.3673469387755102; number overlap: best 1 >= alt 1.0; price delta: alt 0.1290 closer than best 0.1540; size overlap: best 0 >= alt 0.0; token overlap: best 1 >= alt 1.0,switch,Alt offers closer price alignment with similar score.
hmh01828,flora-bloom-275-gal,Flora Bloom 275 gal,3502,3281,0.97,0.966,0.0040000000000000036,manual-alt-stronger,Needs review: close alt 3281 (Δ=0.004),token overlap: best 2 >= alt 2.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.9378 closer than best 0.9537; fuzzy ratio: best 0.5271317829457365 >= alt 0.5203252032520326,4,1,fuzzy ratio: best 0.5271317829457365 >= alt 0.5203252032520326; number overlap: best 0 >= alt 0.0; price delta: alt 0.9378 closer than best 0.9537; size overlap: best 0 >= alt 0.0; token overlap: best 2 >= alt 2.0,switch,Alt offers closer price alignment with similar score.
hmh00170,flora-micro-16-oz,Flora Micro 16 oz,29,3154,0.773,0.755,0.018000000000000016,manual-alt-stronger,Needs review: close alt 3154 (Δ=0.018),token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.0455 closer than best 0.0686; fuzzy ratio: best 0.4 >= alt 0.3673469387755102,4,1,fuzzy ratio: best 0.4 >= alt 0.3673469387755102; number overlap: best 1 >= alt 1.0; price delta: alt 0.0455 closer than best 0.0686; size overlap: best 0 >= alt 0.0; token overlap: best 1 >= alt 1.0,switch,Alt offers closer price alignment with similar score.
,gummibears-auto-seed-8pk,,356,3563,0.635,0.598,0.03700000000000003,manual-alt-stronger,Verify vs alt 3563 (score 0.598),token overlap: best 2 >= alt 2.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best inf <= alt inf; fuzzy ratio: alt 0.3529411764705882 > best 0.2954545454545454,4,1,fuzzy ratio: alt 0.3529411764705882 > best 0.2954545454545454; number overlap: best 0 >= alt 0.0; price delta: best inf <= alt inf; size overlap: best 0 >= alt 0.0; token overlap: best 2 >= alt 2.0,keep,Score gap 0.037 provides margin over alt.
hmh01395,herculean-harvest-gallon,Herculean Harvest Gallon,2358,2359,0.761,0.748,0.013000000000000012,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,keep,Moderate score gap; maintain current pairing pending review.
hmh00387,hydro-deuce-16-oz,Hydro-Deuce 16 oz,3154,29,0.844,0.84,0.0040000000000000036,manual-alt-stronger,Needs review: close alt 2900 (Δ=0.004),token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.0499 closer than best 0.0705; fuzzy ratio: best 0.4081632653061224 >= alt 0.4,4,1,fuzzy ratio: best 0.4081632653061224 >= alt 0.4; number overlap: best 1 >= alt 1.0; price delta: alt 0.0499 closer than best 0.0705; size overlap: best 0 >= alt 0.0; token overlap: best 1 >= alt 1.0,switch,Alt offers closer price alignment with similar score.
hmh01608,hydrodynamics-ionic-grow-3-1-5-premium-plant-nutrient-2-5-gallon,HydroDynamics Ionic® Grow 3-1-5 Premium Plant Nutrient 2.5 gallon,2449,3357,0.709,0.691,0.018000000000000016,manual-review,auto-resolved: stronger numeric overlap,Needs human confirmation,0,0,,keep,Score gap 0.018 exceeds 0.015 threshold.
hmh00346,mayan-microzyme1-gal,Mayan Microzyme1 gal,3411,3138,0.714,0.705,0.009000000000000008,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,keep,Moderate score gap; maintain current pairing pending review.
hmh01493,ona-pro-gel-pail-1-gal,Ona Pro Gel Pail (1 Gal),2164,1909,1.442,1.44,0.0020000000000000018,manual-alt-stronger,Needs review: close alt 1909 (Δ=0.002),token overlap: alt 5.0 > best 4; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: best 0.0225 <= alt 0.0225; fuzzy ratio: best 0.6050420168067226 >= alt 0.5645161290322581,4,1,fuzzy ratio: best 0.6050420168067226 >= alt 0.5645161290322581; number overlap: best 1 >= alt 1.0; price delta: best 0.0225 <= alt 0.0225; size overlap: best 0 >= alt 0.0; token overlap: alt 5.0 > best 4,keep,Best candidate retains overall advantage.
hmh00976,ph-probe-electrode-3-lead-wire,pH probe electrode 3' lead wire,195,151,0.821,0.795,0.025999999999999912,manual-alt-stronger,Needs review: close alt 1510 (Δ=0.026),token overlap: best 2 >= alt 2.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: best 0.4820 <= alt 0.4820; fuzzy ratio: alt 0.3850931677018633 > best 0.3660130718954248,4,1,fuzzy ratio: alt 0.3850931677018633 > best 0.3660130718954248; number overlap: best 1 >= alt 1.0; price delta: best 0.4820 <= alt 0.4820; size overlap: best 0 >= alt 0.0; token overlap: best 2 >= alt 2.0,keep,Score gap 0.026 provides margin over alt.
hmh01685,plagron-cocos-a-5-liter,Plagron Cocos A 5 liter,2208,2207,1.553,1.538,0.014999999999999902,manual-alt-stronger,Needs review: close alt 2207 (Δ=0.014),token overlap: best 3 >= alt 3.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 1.1524 closer than best 1.1562; fuzzy ratio: best 0.6052631578947368 >= alt 0.5789473684210527,4,1,fuzzy ratio: best 0.6052631578947368 >= alt 0.5789473684210527; number overlap: best 1 >= alt 1.0; price delta: alt 1.1524 closer than best 1.1562; size overlap: best 0 >= alt 0.0; token overlap: best 3 >= alt 3.0,switch,Alt offers closer price alignment with similar score.
hmh01684,plagron-cocos-a-liter,Plagron Cocos A liter,2208,2207,1.349,1.334,0.014999999999999902,manual-alt-stronger,Needs review: close alt 2207 (Δ=0.015),token overlap: best 3 >= alt 3.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: alt 7.0714 closer than best 7.0857; fuzzy ratio: best 0.6351351351351351 >= alt 0.6081081081081081,4,1,fuzzy ratio: best 0.6351351351351351 >= alt 0.6081081081081081; number overlap: best 0 >= alt 0.0; price delta: alt 7.0714 closer than best 7.0857; size overlap: best 0 >= alt 0.0; token overlap: best 3 >= alt 3.0,switch,Alt offers closer price alignment with similar score.
hmh01690,plagron-hydro-a-5-liter,Plagron Hydro A  5 Liter,2208,2207,0.995,0.981,0.014000000000000012,manual-alt-stronger,Needs review: close alt 2207 (Δ=0.014),token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.9652 closer than best 0.9687; fuzzy ratio: best 0.5 >= alt 0.4736842105263157,4,1,fuzzy ratio: best 0.5 >= alt 0.4736842105263157; number overlap: best 1 >= alt 1.0; price delta: alt 0.9652 closer than best 0.9687; size overlap: best 0 >= alt 0.0; token overlap: best 1 >= alt 1.0,switch,Alt offers closer price alignment with similar score.
hmh00971,ppm-1500-tds-2-142-ms-16-oz,PPM-1500 TDS / 2.142 ms 16 oz,304,1213,0.68,0.648,0.03200000000000003,manual-alt-stronger,Needs review: close alt 1213 (Δ=0.031),token overlap: best 3 >= alt 2.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.3000 closer than best 0.3584; fuzzy ratio: best 0.238095238095238 >= alt 0.2328767123287671,4,1,fuzzy ratio: best 0.238095238095238 >= alt 0.2328767123287671; number overlap: best 1 >= alt 1.0; price delta: alt 0.3000 closer than best 0.3584; size overlap: best 0 >= alt 0.0; token overlap: best 3 >= alt 2.0,keep,Score gap 0.032 provides margin over alt.
hmh00970,ppm-1500-tds-2-142-ms-8-oz,PPM-1500 TDS / 2.142 ms 8 oz,304,1212,0.655,0.636,0.019000000000000017,manual-review,auto-resolved: stronger numeric overlap,Needs human confirmation,0,0,,keep,Score gap 0.019 exceeds 0.015 threshold.
hmh00861,pulse-start-m-h-600w-10000k-for-final-flowering,"Pulse Start M.H.600W. 10,000K for Final Flowering",1484,149,1.096,1.093,0.0030000000000001137,manual-alt-stronger,Needs review: close alt 1490 (Δ=0.002),token overlap: best 5 >= alt 5.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.2220 closer than best 0.2670; fuzzy ratio: best 0.4558139534883721 >= alt 0.4516129032258064,4,1,fuzzy ratio: best 0.4558139534883721 >= alt 0.4516129032258064; number overlap: best 1 >= alt 1.0; price delta: alt 0.2220 closer than best 0.2670; size overlap: best 0 >= alt 0.0; token overlap: best 5 >= alt 5.0,switch,Alt offers closer price alignment with similar score.
hmh00856,pulse-start-metal-halide-7000k-for-vegative-growth,"Pulse Start Metal Halide 7,000K for Vegative Growth",1485,1488,0.667,0.663,0.0040000000000000036,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,switch,Score gap ≤ 0.005; recommend alt for closer fit.
,self-watering-fabric-pot-base-4-pack,"Self-Watering Fabric Pot Base, 4-Pack",2876,1188,0.632,0.619,0.013000000000000012,manual-review,auto-resolved: text similarity,Needs human confirmation,0,0,,keep,Moderate score gap; maintain current pairing pending review.
,skywalker-auto-skywalker-og-x-gelato-41-auto-5-seed,,3257,3571,0.69,0.668,0.02199999999999991,manual-alt-stronger,Needs review: close alt 3571 (Δ=0.022),token overlap: alt 3.0 > best 2; number overlap: alt 1.0 > best 0; size overlap: best 0 >= alt 0.0; price delta: best inf <= alt inf; fuzzy ratio: best 0.4166666666666667 >= alt 0.4158415841584158,3,2,fuzzy ratio: best 0.4166666666666667 >= alt 0.4158415841584158; number overlap: alt 1.0 > best 0; price delta: best inf <= alt inf; size overlap: best 0 >= alt 0.0; token overlap: alt 3.0 > best 2,keep,Score gap 0.022 provides margin over alt.
hmh00036,subculture-b-200gm-bag,SubCulture B 200gm. Bag,374,375,0.675,0.675,0.0,manual-alt-stronger,Needs review: close alt 375 (Δ=0.000),token overlap: best 1 >= alt 1.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.5476 closer than best 0.5483; fuzzy ratio: best 0.5 >= alt 0.5,4,1,fuzzy ratio: best 0.5 >= alt 0.5; number overlap: best 0 >= alt 0.0; price delta: alt 0.5476 closer than best 0.5483; size overlap: best 0 >= alt 0.0; token overlap: best 1 >= alt 1.0,switch,Alt offers closer price alignment with similar score.
hmh01704,sunblaster-125w-cf-2500k-2,Sunblaster 125W CF 2500k,1735,3076,0.683,0.675,0.008000000000000007,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,keep,Moderate score gap; maintain current pairing pending review.
