Variant SKU,Handle,Title,Variant Price,Variant Inventory Qty,Top Candidate Item Number,Top Candidate Item Name,Top Candidate Score,Top Candidate Qty Total,Top Candidate Regular Price,POS Item Number,POS Item Name,POS Size,POS Qty Total,POS Regular Price,POS On Order Qty,POS Vendor,Match Score,Confidence,Review Notes,Alt1 Item Number,Alt1 Item Name,Alt1 Score,Alt2 Item Number,Alt2 Item Name,Alt2 Score
,jack-herer-feminised-haze-x-red-skunk-5-pk-seed,Jack Herer (Feminised) Haze x Red Skunk-5 pk Seed,44.00,0,2659,PK APATITE 2.5 Gal,0.572,-1,321.00,,,,0,,0,,0.572,low-score,Ambiguous: Δ=0.014,3568,Jacks 5-50-18 UltraViolet 1kg,0.558,3357,Ionic PK Boost 2.5 Gallon,0.545
hmh00446,hygrozyme-4-l,HYGROZYME 4 L,135.25,0,186,Hygrozyme Gal,0.563,6,136.99,,,,0,,0,,0.563,low-score,Ambiguous: Δ=0.016,185,Hygrozyme Lt,0.547,184,Hygrozyme 500ml,0.499
,great-white-shark-feminised-super-skunk-x-brazilian-x-south-indian-5-seed,Great White Shark (Feminised) Super Skunk x Brazilian x South Indian.-5 SEED,45.00,0,756,"Uno 42"" Parabolic",0.385,10,99.89,,,,0,,0,,0.385,low-score,Ambiguous: Δ=0.034,2841,Great White,0.351,3145,"Great White® Mycorrhizae 1 oz,",0.349
,holy-punch-feminised-the-church-x-grape-photo-5-seed,Holy Punch (Feminised) The Church x Grape Photo 5 Seed,45.00,0,1216,PS-1 Day/Night Photo Switch,0.227,7,128.80,,,,0,,0,,0.227,low-score,Ambiguous: Δ=0.004,989,CO2 Controller/Monitor/photo I,0.223,1206,Professional Hole Punch,0.219
,holy-punch-feminised-the-church-x-grape-photo-5-seed,,,,1206,Professional Hole Punch,0.279,0,12.21,,,,0,,0,,0.279,low-score,Ambiguous: Δ=0.074,989,CO2 Controller/Monitor/photo I,0.205,1927,CT-CT-3P,0.204
hmh00038,general-organics-starter-box,General Organics Starter Box,56.25,0,2019,Advanced Nutrients Starter Kit,0.497,1,217.88,,,,0,,0,,0.497,low-score,Ambiguous: Δ=0.003,1818,Personal GROW BOX/ 8 liters,0.494,559,Honey Organic ES Gal,0.476
,grodan-hugo-6in-x-6in-x-6in-pre-cut-holes,Grodan Hugo - 6in x 6in x 6in - Pre-Cut Holes,250.00,10,1459,Grodan Gro 6 x 6 x 6 HUGO,0.547,0,3.75,,,,0,,0,,0.547,low-score,Ambiguous: Δ=0.116,3456,"Grodon Hugo 6""/Cs.- 64",0.431,1360,Flora Flex PotPro Pot 8 in,0.416
,hawaiian-snow-feminised-hawaiian-sativa-x-laos,Hawaiian Snow (Feminised) Hawaiian sativa x Laos,60.00,0,3549,AMBER LABEL - SATIVA 250ml,0.361,0,74.95,,,,0,,0,,0.361,low-score,Ambiguous: Δ=0.060,1329,E.T.-Snow Storm Ultra Qt,0.301,1330,E.T.Snow Storm Ultra 8oz,0.298
,hawaiian-snow-feminised-hawaiian-sativa-x-laos,,,,1330,E.T.Snow Storm Ultra 8oz,0.343,-3,15.95,,,,0,,0,,0.343,low-score,Ambiguous: Δ=0.001,3549,AMBER LABEL - SATIVA 250ml,0.342,1329,E.T.-Snow Storm Ultra Qt,0.295
,francos-lemon-cheese-feminised-super-lemon-haze-x-exodus-cheese-5-sed,Franco's Lemon Cheese (Feminised) Super Lemon Haze x Exodus Cheese -5 sed,50.00,0,1961,Haze Auto x White Widow Auto,0.180,0,50.00,,,,0,,0,,0.180,low-score,Ambiguous: Δ=0.001,3603,SUPER GREASE CANNASUPER LABS,0.179,1781,"Bond 8'x1"" bamboo super pole",0.164
,flowerbomb-kush-feminised-green-crack-x-og-kush-photo-5-seed,Flowerbomb Kush (Feminised) Green Crack x OG Kush photo 5 Seed,50.00,0,2675,Spring Green 2.5 gal,0.580,1,120.70,,,,0,,0,,0.580,low-score,Ambiguous: Δ=0.004,2676,Spring Green 5 gal,0.576,452,TallBoy Green CocoCarbon Filter,0.575
,flowerbomb-kush-feminised-green-crack-x-og-kush-photo-5-seed,,,,2676,Spring Green 5 gal,0.591,1,214.60,,,,0,,0,,0.591,low-score,Ambiguous: Δ=0.003,2675,Spring Green 2.5 gal,0.588,452,TallBoy Green CocoCarbon Filter,0.578
,fullgas-feminised-exodus-cheese-x-sherbert-og-photo-5-seed,Fullgas! (Feminised) Exodus Cheese X Sherbert OG Photo -5 Seed,66.00,0,1216,PS-1 Day/Night Photo Switch,0.198,7,128.80,,,,0,,0,,0.198,low-score,Ambiguous: Δ=0.004,1225,CST-1P Chrono Seqential Photo,0.194,989,CO2 Controller/Monitor/photo I,0.185
,fullgas-feminised-exodus-cheese-x-sherbert-og-photo-5-seed,,,,3661,OG Oganics Bud Candy liter,0.203,-2,35.95,,,,0,,0,,0.203,low-score,Ambiguous: Δ=0.007,3257,"G.M.O. Auto ""OG""",0.196,3373,OG Organics™ BigMike’s OG Tea,0.192
,etoh-pro-rev2-ethanol-botanical-extractor-odorless-closed-loop-high-volume,EtOH Pro REV2 Ethanol Botanical Extractor - Odorless Closed-Loop High Volume,1900.00,0,3234,35 Site Psycloner Pro Aeroponic,0.302,1,125.00,,,,0,,0,,0.302,low-score,Ambiguous: Δ=0.022,1402,Pro mix 3.8 mycorrhizae,0.280,3409,Athena Pro mix kit 1 gal.,0.278
,etoh-pro-rev2-ethanol-botanical-extractor-odorless-closed-loop-high-volume,,,,8,Pure Blend Pro Bloom Soil Gal,0.329,-2,73.00,,,,0,,0,,0.329,low-score,Ambiguous: Δ=0.006,1716,Ona Gel PRO-Repack Tub,0.324,636,Gro Pro Root Master 35,0.323
hmh01422,flora-series-performance-pack-complete-8-week-grow-bloom-starter-kit,Flora Series Performance Pack (Complete 8 week grow/bloom starter kit),52.95,0,325,Tiger Bloom 2 - 8 - 4 Gal,0.519,31,104.29,,,,0,,0,,0.519,low-score,High stock (~31) - manual confirmation,2697,"8""Max-Fan PRO Series 3-speed",0.512,697,"PRO Flange Kit 8""",0.507
hmh00977,control-wizard-accurate-handheld-ph3-meter,Control Wizard Accurate Handheld pH3 Meter,64.95,0,3168,Preset CO2 Mointer Control,0.412,1,429.00,,,,0,,0,,0.412,low-score,Ambiguous: Δ=0.004,3143,Athena Mildew Control 32oz.,0.408,1048,CW-503 pH-3 Handheld Meter,0.405
hmh00151,doktor-doom-spider-mite-knock-out,Doktor Doom Spider Mite Knock Out,14.99,0,344,Spider Mite Knockout 16oz,0.581,41,19.75,,,,0,,0,,0.581,low-score,High stock (~41) - manual confirmation,1436,"TDS Monitor 1/4"" in/out",0.389,3355,Russet  MITE control.8 oz.,0.385
hmh01556,cocotek-grow-a-qts,CocoTek grow A Qts.,15.89,0,661,"CocoTek 14"" Planter",0.614,0,18.28,,,,0,,0,,0.614,low-score,Ambiguous: Δ=0.006,3360,CocoTek BLOOM-A 6 G.,0.608,656,"CocoTek 8"" Basket Liner",0.597
hmh01557,cocotek-grow-b-qts,CocoTek Grow B Qts.,15.89,0,3359,CocoTek BLOOM-B 6 Ga,0.615,0,99.00,,,,0,,0,,0.615,low-score,Ambiguous: Δ=0.001,661,"CocoTek 14"" Planter",0.614,1814,FLOWER BOX F.H.D.4/qts.,0.602
,cri-series-dli-cri-series-630w-cmh-240v,CRI-Series DLI CRI-Series 630W CMH 120V-240V,395.00,0,2620,DLI JOULE-Series 1000W 400V D/E,0.520,2,499.00,,,,0,,0,,0.520,low-score,Ambiguous: Δ=0.026,3642,10ft. Extention /DLI 240V Cord,0.494,2954,GREENPOWER FIXTURES HORIZ. 315,0.474
hmh00332,double-super-b-23-liter,Double Super B+ 23 liter,448.98,0,1857,Super Double B+ 500ml,0.583,4,22.98,,,,0,,0,,0.583,low-score,Ambiguous: Δ=0.091,1586,Super Double B+ Lt,0.492,1589,Super Double B+ 23L,0.468
,cannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-compl,Cannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp Cultivation,34.95,0,3196,Cannabis Growers Handbook,0.584,0,44.95,,,,0,,0,,0.584,low-score,Ambiguous: Δ=0.281,971,M.J. Horticulture/Medical Bible,0.303,,Cannabis Seed AUTO,0.226
,chemdog-feminized-5-seed,CHEMDOG ( feminized ) 5 seed,45.00,0,,,,,,,,,0,,0,,,no-match,No match,,,,,,
,chemdog-feminized-5-seed,,,,,,,,,,,,0,,0,,,no-match,No match,,,,,,
,cloudlab-866-advance-grow-tent-60-x-60-x-80,"CLOUDLAB 866, Advance Grow Tent 60"" x 60"" x 80""",219.00,0,3494,UNO 4x8 Grow Tent,0.413,-1,289.00,,,,0,,0,,0.413,low-score,Ambiguous: Δ=0.025,3479,OneDeal Grow Tent 4'x4',0.388,3318,Grow Tent - 5ft W x 5ft L x 6.5,0.358
,blue-haze-x-gelato-41-auto-feminised-blue-haze-x-gelato-41-auto-5-seed,Blue Haze x Gelato 41 Auto (Feminised) Blue Haze x Gelato 41 Auto/ 5 Seed,66.00,0,3571,GELATO #41 @Flowers 32%,0.458,0,50.00,,,,0,,0,,0.458,low-score,Ambiguous: Δ=0.049,1961,Haze Auto x White Widow Auto,0.409,295,Sticky Trap Blue,0.385
,blue-haze-x-gelato-41-auto-feminised-blue-haze-x-gelato-41-auto-5-seed,,,,3571,GELATO #41 @Flowers 32%,0.545,0,50.00,,,,0,,0,,0.545,low-score,Ambiguous: Δ=0.045,3535,Gelato #41 Simi FullTerm 11 G.,0.500,1961,Haze Auto x White Widow Auto,0.478
,black-toffee-auto-feminised-larry-bubba-x-gelato-41-auto-5-seed,Black Toffee Auto (Feminised) Larry Bubba x Gelato #41 Auto -5 Seed,66.00,0,3571,GELATO #41 @Flowers 32%,0.448,0,50.00,,,,0,,0,,0.448,low-score,Ambiguous: Δ=0.035,959,Beldon Square Black Pot 5X5X6,0.413,2529,Classic 2100/ 5 Gal.,0.408
,black-toffee-auto-feminised-larry-bubba-x-gelato-41-auto-5-seed,,,,3571,GELATO #41 @Flowers 32%,0.562,0,50.00,,,,0,,0,,0.562,low-score,Ambiguous: Δ=0.091,3535,Gelato #41 Simi FullTerm 11 G.,0.471,959,Beldon Square Black Pot 5X5X6,0.442
hmh00962,big-boy-kdf-85-carbon-filter-well-water-chloramines,BIG BOY KDF-85 CARBON FILTER- WELL WATER & CHLORAMINES,129.00,0,1005,Big Boy KDF85 Carbon Filter,0.542,1,124.14,,,,0,,0,,0.542,low-score,Ambiguous: Δ=0.007,1023,Carbon Filter for Big Boy,0.535,453,Big Boy KDF85/Catalytic Carbon,0.488
hmh01155,calimagic-16oz,CALiMAGic 16oz,12.95,0,2064,CaliMagic Gal,0.553,9,62.89,,,,0,,0,,0.553,low-score,Ambiguous: Δ=0.005,2063,CaliMagic qt,0.548,2066,CaliMagic 6gal,0.525
hmh01765,bi-pin-socket-adpter-for-pgzx18,BI-PIN Socket adpter for PGZX18,16.95,0,2787,315 Socket set Adapter,0.622,26,13.95,,,,0,,0,,0.622,low-score,High stock (~26) - manual confirmation,2875,58 Mogal Socket H.I.D.,0.419,2595,Double Ended Socket Set,0.347
hmh01435,b1cuss-blossombuilder-946-ml,B1Cuss BlossomBuilder 946 ml.,138.95,0,3350,Silicium 100 ML,0.442,17,45.00,,,,0,,0,,0.442,low-score,Ambiguous: Δ=0.036,1778,Flawless Finish  250 ml.,0.406,2993,Clonex Mist 750 ML,0.368
,big-bang-feminised-skunk-x-northern-light-x-el-nino-auto-5-seed,Big Bang (Feminised) Skunk x Northern Light x El Niño AUTO 5 Seed,45.00,0,902,4ft Rail for Light Rail 5,0.545,0,70.36,,,,0,,0,,0.545,low-score,Ambiguous: Δ=0.011,3552,Big Eas4.7 ft x 4.7 ft x 6.5 ft,0.534,3005,FoxFarm Bloom 0 - 0.5 - 0.7 gal,0.508
,banana-krumble-feminised-banana-punch-x-og-kush-5-seed,Banana Krumble (Feminised) Banana Punch x OG Kush-5 Seed,50.00,0,3576,Banana Cream Sundae- Full Term,0.232,0,,,,,0,,0,,0.232,low-score,Ambiguous: Δ=0.022,1206,Professional Hole Punch,0.210,3257,"G.M.O. Auto ""OG""",0.209
,bcuzz-roxx-rooting-blocks-4-x-4-x-4-cs-24-strips-6-per-scrip,B'cuzZ Roxx Rooting Blocks 4 x 4 x 4 --Cs/24 strips @6 per strip,150.00,0,2083,"2"" mini blocks 24 count",0.556,93,6.79,,,,0,,0,,0.556,low-score,High stock (~93) - manual confirmation,336,"Roxx Big Dutch 6""",0.463,861,B'Cuzz Root Aid Gel 4oz,0.455
hmh00524,badboy-ho-t-5-4-ft-triphosphor-bloom-54-w-2900-k,"BADBOY HO T-5 4 ft Triphosphor Bloom 54 W, 2900 K",15.98,0,3136,Athena Bloom A 4-0-5 Gal.,0.600,8,45.00,,,,0,,0,,0.600,low-score,Ambiguous: Δ=0.004,3137,Athena Bloom B 0.7-6.5 Gal.,0.596,776,BadBoy T5 4'-12 Fixture w/ bulb,0.591
,athena-grow-a,,,,,,,,,,,,0,,0,,,no-match,No match,,,,,,
hmh01199,aquaspinners,AquaSpinners,1.15,0,,,,,,,,,0,,0,,,no-match,No match,,,,,,
,arjans-strawberry-haze-feminised-swiss-sativa-x-nl5-haze-mist-5-seed,Arjan's Strawberry Haze (Feminised) Swiss sativa x NL5 Haze Mist-5 seed,45.00,0,3549,AMBER LABEL - SATIVA 250ml,0.215,0,74.95,,,,0,,0,,0.215,low-score,Ambiguous: Δ=0.036,2993,Clonex Mist 750 ML,0.179,1961,Haze Auto x White Widow Auto,0.162
,ac-infinity-self-watering-fabric-pot-base-xl-4-pack,"AC Infinity -Self-Watering Fabric Pot Base XL, 4-Pack",89.99,0,2876,Square Plastic Pot Black 4 in,0.584,10,0.28,,,,0,,0,,0.584,low-score,Ambiguous: Δ=0.044,1188,"Cow Pot 4""  /12 per",0.540,1989,4 x 4 jiffy pots (10/$3.00),0.529
hmh01434,bcuzz-blossombuilder-355-ml,B`Cuzz BlossomBuilder 355 ml.,46.69,0,1202,B'Cuzz Hydro A 10L,0.424,0,89.95,,,,0,,0,,0.424,low-score,Ambiguous: Δ=0.008,1203,B'Cuzz Hydro B 10L,0.416,1185,B’Cuzz Bloom Stimulator 0-0-0.7,0.401
hmh00900,6-ft-add-a-lamp-pkg-includes-rail-pushrod-trolley-hardware,6 ft add-a-lamp pkg. Includes rail pushrod trolley & hardware,59.95,0,895,Add-A-Lamp Hardware Kit,0.612,12,23.41,,,,0,,0,,0.612,low-score,Ambiguous: Δ=0.104,3148,OD Tray 4 ft x 6 ft - Black,0.508,3659,UltraGrow 6 lamp T5 /4ft,0.494
hmh01200,aquaspinners-2,AquaSpinners,1.15,0,,,,,,,,,0,,0,,,no-match,No match,,,,,,
,alienz-auto-feminised-alienz-x-watermelon-auto-5-seed,AlienZ Auto (Feminised) Alienz x Watermelon Auto 5 Seed,66.00,0,1961,Haze Auto x White Widow Auto,0.345,0,50.00,,,,0,,0,,0.345,low-score,Ambiguous: Δ=0.049,3582,G.M.O. X MendoBreath/ Auto,0.295,3560,Facefat Strain Auto FEM,0.291
,ac-infinity-controller-ai-environmental-controller,AC Infinity/CONTROLLER AI+ Environmental Controller,120.00,0,1251,RHC-1 Humidity Controller,0.431,0,261.58,,,,0,,0,,0.431,low-score,Ambiguous: Δ=0.009,3503,Gavita Master Controller EL2 -,0.422,1278,CO2 Controller w/ Remote Sensor,0.418
hmh00854,430-sodium-son-agro-54000-lumens,430 Sodium Son-Agro 54000 lumens,89.95,0,1726,Venture 1000w MH,0.435,9,84.02,,,,0,,0,,0.435,low-score,Ambiguous: Δ=0.003,1503,Plantmax 600w HPS,0.432,1496,Plantmax 400w MH 4200k,0.406
hmh01717,315-chm-3k-greenpower-luminaires,315 CHM 3K GREENPOWER LUMINAIRES,89.00,0,2888,D-Papillon 315W FULL SPECTRUM,0.510,5,350.00,,,,0,,0,,0.510,low-score,Ambiguous: Δ=0.235,1983,PLANT MAX 600 3K,0.274,3512,Hortilux 600W CHM lamp,0.213
hmh00926,2mm-thick-50-mylar-roll,2mm Thick 50' Mylar Roll,48.95,0,2828,Poly Tubing Black 1/4 in 50 ft,0.585,5,11.95,,,,0,,0,,0.585,low-score,Ambiguous: Δ=0.002,875,Block-IR 50' Roll,0.583,2829,Poly Tubing Black 3/8 in 50 ft,0.568
hmh00902,3-ft-extender-rail-a-3-foot-section-of-rail-to-extend-a-6-ft-section-into-a-9-ft,3 ft extender rail- A 3 foot section of rail to extend a 6 ft section into a 9 ft,31.95,0,1359,Botanicare OD Tray 3 ft x 3 ft,0.441,0,113.19,,,,0,,0,,0.441,low-score,Ambiguous: Δ=0.009,3552,Big Eas4.7 ft x 4.7 ft x 6.5 ft,0.433,3181,Botanicare ID Tray 3 ft x 3 ft,0.426
hmh01595,240v-lec-emitting-ceramic-fixture-630-light,240V.LEC®Emitting Ceramic® Fixture 630 Light,250.00,0,2886,D-Papillon Double  630/ 240V.,0.539,6,599.00,,,,0,,0,,0.539,low-score,Ambiguous: Δ=0.039,2511,E Papillon Lighting System 630,0.500,1218,LT4-240-LTO 4 Light Timer,0.401
hmh00997,3-pack-1-5-v-batteries-for-hm-digital-meters,3-pack 1.5 V batteries for HM Digital Meters,8.95,0,1183,3 kg Digital Scale with 1.88 L,0.597,3,42.95,,,,0,,0,,0.597,low-score,Ambiguous: Δ=0.013,3555,Luster Leaf Digital Ph meter,0.584,2659,PK APATITE 2.5 Gal,0.553
hmh01297,2mm-thick-25-mylar-roll,2mm Thick 25' Mylar Roll,30.95,0,2382,Flash-Gro 25' Roll,0.606,9,27.17,,,,0,,0,,0.606,low-score,Ambiguous: Δ=0.022,874,Block-IR 25' Roll,0.583,1378,Panda Film 100' Roll,0.459
hmh00731,20-can-filter-flange-max,"20"" Can Filter Flange Max",45.00,0,2986,"COMBO Max 14 w/Can 150 & 14"" Fl",0.601,0,1110.00,,,,0,,0,,0.601,low-score,Ambiguous: Δ=0.090,539,"CAN 12"" Flange",0.511,536,"CAN 6"" Flange",0.504
hmh00567,2-heavy-duty-neoprene-collars-case-of-200,"2"" heavy duty neoprene collars (case of 200)",90.00,0,818,"2"" Neoprene (Thick)",0.506,152,0.83,,,,0,,0,,0.506,low-score,High stock (~152) - manual confirmation,2844,M.E.- Sugar Load Heavy Brix Mol,0.407,3011,"TurboKlone Klone Collars-1.6""",0.394
,2-heavy-duty-neoprene-collars-case-of-200,,,,818,"2"" Neoprene (Thick)",0.519,152,0.83,,,,0,,0,,0.519,low-score,High stock (~152) - manual confirmation,2844,M.E.- Sugar Load Heavy Brix Mol,0.416,3011,"TurboKlone Klone Collars-1.6""",0.398
hmh00844,2-in-site-plug-case-of-20,2 in. Site Plug (case of 20),10.60,0,2548,FloraFlex 8 in FloraCap 2.0,0.615,130,8.25,,,,0,,0,,0.615,low-score,High stock (~130) - manual confirmation,797,"3"" Site Plug",0.602,798,"4"" Site Plug",0.602
hmh00923,1mm-thick-25-mylar-roll,1mm Thick 25' Mylar Roll,20.95,0,2382,Flash-Gro 25' Roll,0.606,9,27.17,,,,0,,0,,0.606,low-score,Ambiguous: Δ=0.022,874,Block-IR 25' Roll,0.583,1378,Panda Film 100' Roll,0.459
hmh00924,1mm-thick-50-mylar-roll,1mm Thick 50' Mylar Roll,30.95,0,2828,Poly Tubing Black 1/4 in 50 ft,0.585,5,11.95,,,,0,,0,,0.585,low-score,Ambiguous: Δ=0.002,875,Block-IR 50' Roll,0.583,2829,Poly Tubing Black 3/8 in 50 ft,0.568
hmh00937,10a-240v-w-battery-backup,10A 240V w/battery backup,400.00,0,3081,20ft. 240V. power Cord,0.456,12,35.00,,,,0,,0,,0.456,low-score,Ambiguous: Δ=0.048,3421,E-pap 660Watt LED diming 240V,0.408,2667,UltraGrow 240v Mechanical Timer,0.392
hmh00814,10-x-10-x-10-y-connector,"10"" X 10"" X 10"" ""Y"" Connector",33.29,0,1016,"3/8"" Union Connector",0.623,1,4.89,,,,0,,0,,0.623,low-score,Ambiguous: Δ=0.047,1694,Y-Connector 12x10x10,0.576,783,"Tee 1/4""",0.565
hmh00936,10a-120v-w-battery-backup,10A 120V w/battery backup,335.00,0,1214,LT4-120 4 Light Timer,0.390,1,233.45,,,,0,,0,,0.390,low-score,Ambiguous: Δ=0.003,1222,LT4-120-B 4 Light Timer,0.388,2134,Maxell LR1130 Battery,0.387
SKID,dutch-lighting-innovations-joule-series-1000w-de-220v-240v,“Dutch Lighting Innovations”  JOULE-SERIES 1000W DE 120V – 240V/ Skid (62 Fixtures),19000.00,62,3465,Dutch Lighting Innovations DLM-,0.538,1,350.00,,,,0,,0,,0.538,low-score,Ambiguous: Δ=0.057,2620,DLI JOULE-Series 1000W 400V D/E,0.481,2954,GREENPOWER FIXTURES HORIZ. 315,0.385
hmh00829,1-2-in-straight-barbed-bag-of-50,1/2 in. Straight Barbed (bag of 50),27.50,0,3422,"1/4"" TUBING BARBED tee (100/pk)",0.625,9,19.56,,,,0,,0,,0.625,low-score,Ambiguous: Δ=0.005,2295,CAN Storage Bags,0.620,1390,"1/4"" Straight Connector-5pk",0.612
hmh00827,1-2-in-elbow-barbed-bag-of-50,1/2 in. Elbow Barbed (bag of 50),31.50,0,3422,"1/4"" TUBING BARBED tee (100/pk)",0.621,9,19.56,,,,0,,0,,0.621,low-score,Ambiguous: Δ=0.024,2548,FloraFlex 8 in FloraCap 2.0,0.596,2869,"Reducer Tee 1/2"" to 3/8""",0.593
