Brand,Product Line,Coverage,Sizes You Have,Sizes Missing,Note
"General Hydroponics","Flora Series (FloraGro, FloraBloom, FloraMicro)",0%,"1 oz","Pint (473ml); Quart (946ml); Gallon (3.78L); 2.5 Gallon; 6 Gallon; 15 Gallon; 55 Gallon Drum; 275 Gallon Tote","Core 3-part system - high volume product line"
"General Hydroponics","FloraNova (Grow & Bloom)",0%,"1 oz","Pint; Quart; Gallon; 2.5 Gallon; 6 Gallon","1-part concentrated formula"
"General Hydroponics","CALiMAGic",0%,"","Quart; Gallon; 2.5 Gallon; 6 Gallon",""
"General Hydroponics","Armor Si",0%,"","Quart; Gallon; 2.5 Gallon; 6 Gallon",""
"General Hydroponics","Diamond Nectar",0%,"","Quart; Gallon; 2.5 Gallon; 6 Gallon",""
"General Hydroponics","Liquid KoolBloom",0%,"","Quart; Gallon; 2.5 Gallon",""
"General Hydroponics","Dry KoolBloom",0%,"","2.2 lb; 1 kg; 16 lb",""
"General Hydroponics","MaxiGro & MaxiBloom",0%,"","2.2 lb (1kg); 16 lb","Powder nutrients - economical choice"
"General Hydroponics","RapidStart",25%,"125ml","Pint; Quart; Gallon","Root enhancer concentrate"
"General Hydroponics","Floralicious Plus",0%,"1 oz","8 oz; Quart; Gallon; 2.5 Gallon",""
"General Hydroponics","FloraNectar (Sugar/Pineapple/Fruit)",0%,"","Quart; Gallon; 2.5 Gallon",""
"General Hydroponics","BioThrive (Grow & Bloom)",0%,"","Quart; Gallon; 2.5 Gallon; 6 Gallon","Organic/vegan line"
"General Hydroponics","pH Up & pH Down",0%,"","8 oz; Quart; Gallon; 2.5 Gallon; 6 Gallon; 15 Gallon; 55 Gallon","High volume consumable"
"Advanced Nutrients","pH Perfect Sensi (Grow/Bloom A&B)",80%,"10L; 1L; 23L; 4L","500ml","Flagship pH-buffered base nutrients"
"Advanced Nutrients","pH Perfect Connoisseur (Grow/Bloom A&B)",40%,"1L; 4L","500ml; 10L; 23L","Premium line"
"Advanced Nutrients","Big Bud",50%,"23L; 130g; 1L; 10L","250ml; 500ml; 4L","Bloom booster - top seller"
"Advanced Nutrients","B-52",67%,"23L; 4L; 1L; 10L; 52L","250ml; 500ml",""
"Advanced Nutrients","Bud Candy",40%,"1L; 10L","250ml; 500ml; 4L",""
"Advanced Nutrients","Overdrive",40%,"1L; 10L","250ml; 500ml; 4L",""
"Advanced Nutrients","Bud Ignitor",50%,"10L; 250ml; 1L","500ml; 4L; 23L",""
"Advanced Nutrients","Voodoo Juice",50%,"250ml; 500ml","1L; 4L","Beneficial bacteria"
"Advanced Nutrients","Piranha",0%,"50g","250ml; 500ml; 1L; 4L",""
"Advanced Nutrients","Tarantula",0%,"50g","250ml; 500ml; 1L; 4L",""
"Advanced Nutrients","Rhino Skin",33%,"4L; 1L","250ml; 500ml; 10L; 23L","Silica - popular add-on"
"Advanced Nutrients","Nirvana",75%,"500ml; 1L; 4L","250ml",""
"Advanced Nutrients","Sensizym",40%,"1L; 10L","250ml; 500ml; 4L",""
"Advanced Nutrients","Flawless Finish",25%,"250ml","500ml; 1L; 4L",""
"Fox Farm","Trio (Grow Big, Big Bloom, Tiger Bloom)",60%,"2.5 Gallon","Pint; Quart","Best-selling liquid trio"
"Fox Farm","Sledgehammer",0%,"","Quart; Gallon",""
"Fox Farm","Open Sesame",0%,"","6 oz; 1 lb; 5 lb","Soluble - early bloom"
"Fox Farm","Beastie Bloomz",0%,"","6 oz; 1 lb; 5 lb","Soluble - mid bloom"
"Fox Farm","Cha Ching",0%,"","6 oz; 1 lb; 5 lb","Soluble - late bloom"
"Fox Farm","Kangaroots",0%,"","Pint; Quart; Gallon",""
"Fox Farm","Microbe Brew",0%,"","Pint; Quart; Gallon",""
"Fox Farm","Happy Frog Jump Start",0%,"","3 lb; 18 lb",""
"Botanicare","Pure Blend Pro (Grow & Bloom)",0%,"","Quart; Gallon; 2.5 Gallon; 5 Gallon; 15 Gallon",""
"Botanicare","CNS17 (Grow, Bloom, Ripe)",0%,"","Quart; Gallon; 2.5 Gallon; 5 Gallon; 15 Gallon","Professional 1-part formula"
"Botanicare","Cal-Mag Plus",0%,"","Quart; Gallon; 2.5 Gallon; 5 Gallon","Very popular - essential supplement"
"Botanicare","Hydroplex",0%,"","Quart; Gallon; 2.5 Gallon",""
"Botanicare","Sweet (Raw, Berry, Citrus, Grape)",0%,"","Pint; Quart; Gallon; 2.5 Gallon",""
"Botanicare","Clearex",0%,"","Quart; Gallon; 2.5 Gallon",""
"Botanicare","Rhizo Blast",0%,"","Quart; Gallon",""
"Canna","Coco A&B",0%,"","1L; 5L; 10L; 20L","Industry standard for coco"
"Canna","Terra Vega & Flores",0%,"","1L; 5L; 10L",""
"Canna","Aqua Vega/Flores A&B",0%,"","1L; 5L; 10L",""
"Canna","Boost",0%,"","250ml; 1L; 5L; 10L",""
"Canna","Cannazym",0%,"","250ml; 1L; 5L; 10L",""
"Canna","Rhizotonic",0%,"","250ml; 1L; 5L; 10L",""
"Canna","PK 13/14",0%,"","250ml; 1L; 5L","Bloom booster"
"House & Garden","Aqua Flakes A&B",0%,"","1L; 5L; 10L; 20L",""
"House & Garden","Coco A&B",0%,"","1L; 5L; 10L; 20L",""
"House & Garden","Roots Excelurator Gold",0%,"","100ml; 250ml; 500ml; 1L; 5L","Premium root stimulator - high margin"
"House & Garden","Top Booster",0%,"","250ml; 500ml; 1L; 5L",""
"House & Garden","Bud-XL",0%,"","250ml; 500ml; 1L; 5L",""
"House & Garden","Shooting Powder",0%,"","sachet (5g); 65g; 500g; 1kg",""
"Athena","Pro Line Core",0%,"1 lb","Gallon; 5 Gallon; 15 Gallon; 55 Gallon; 275 Gallon Tote","Commercial focus - bulk pricing"
"Athena","Grow A&B",0%,"","Gallon; 5 Gallon; 15 Gallon; 55 Gallon",""
"Athena","Bloom A&B",0%,"","Gallon; 5 Gallon; 15 Gallon; 55 Gallon",""
"Athena","Balance",0%,"1 lb","Quart; Gallon; 5 Gallon",""
"Athena","Cleanse",0%,"","Gallon; 5 Gallon",""
"Athena","IPM",0%,"1 oz","Quart; Gallon; 5 Gallon",""
"Mills Nutrients","Basis A&B",0%,"","1L; 5L; 10L; 20L",""
"Mills Nutrients","C4",0%,"","250ml; 1L; 5L",""
"Mills Nutrients","Start",0%,"","100ml; 250ml; 1L",""
"Mills Nutrients","Ultimate PK",0%,"","250ml; 1L; 5L",""
"Emerald Harvest","Cali Pro A&B",0%,"","Quart; Gallon; 2.5 Gallon; 6 Gallon",""
"Emerald Harvest","King Kola",0%,"","Quart; Gallon; 2.5 Gallon",""
"Emerald Harvest","Honey Chome",0%,"","Quart; Gallon; 2.5 Gallon",""
"Emerald Harvest","Root Wizard",0%,"","Quart; Gallon; 2.5 Gallon",""