base_key,handle_count,category,has_consolidated_handle,sku_match_ratio,suggested_action,handles,sample_product_names,vendors,product_types
humboldt-nutrients-s-i-structural-integrity,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,humboldt-nutrients-s-i-structural-integrity|humboldt-nutrients-s-i-structural-integrity-gal|humboldt-nutrients-s-i-structural-integrity-qt,Humboldt Nutrients S.I. Structural Integrity|Humboldt Nutrients S.I. Structural Integrity Gal.|Humboldt Nutrients S.I. Structural Integrity qt.,H Moon Hydro,grouped|simple
humboldt-sea-cal,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,humboldt-sea-cal-1-gal|humboldt-sea-cal-1-qt|humboldt-sea-cal-2-5-gal,Humboldt Sea Cal 1 gal|Humboldt Sea Cal 1 qt|Humboldt Sea Cal 2.5 gal,H Moon Hydro,simple
humboldt-sea-mag,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,humboldt-sea-mag-1-gal|humboldt-sea-mag-1-qt|humboldt-sea-mag-2-5-gal,Humboldt Sea Mag 1 gal|Humboldt Sea Mag 1 qt|Humboldt Sea Mag 2.5 gal,H Moon Hydro,simple
humboldt-sticky-foliar-feed,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,humboldt-sticky-foliar-feed|humboldt-sticky-foliar-feed-1-qt|humboldt-sticky-foliar-feed-16-oz,Humboldt Sticky Foliar Feed|Humboldt Sticky Foliar Feed 1 qt|Humboldt Sticky Foliar Feed 16 oz,H Moon Hydro,grouped|simple
hydroplex,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,hydroplex|hydroplex-gal|hydroplex-qt,Hydroplex|Hydroplex Gal.|Hydroplex Qt.,H Moon Hydro,grouped|simple
hygeias-hydration,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,hygeias-hydration|hygeias-hydration-gallon|hygeias-hydration-quart,Hygeia's Hydration|Hygeia's Hydration Gallon|Hygeia's Hydration Quart,H Moon Hydro,grouped|simple
hygrozyme,3,create,no,0.00,Create new variant group,hygrozyme-1-l|hygrozyme-4-l|hygrozyme-500-ml,HYGROZYME 1 L|HYGROZYME 4 L|HYGROZYME 500 ml,H Moon Hydro,simple
ionic-bloom-premium-plant-nutrient,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,ionic-bloom-3-2-6-premium-plant-nutrient-2-5-gallon|ionic-bloom-3-2-6-premium-plant-nutrient-gallon|ionic-bloom-3-2-6-premium-plant-nutrient-qt,Ionic® Bloom 3-2-6 Premium Plant Nutrient 2.5 Gallon|Ionic® Bloom 3-2-6 Premium Plant Nutrient Gallon|Ionic® Bloom 3-2-6 Premium Plant Nutrient Qt.,H Moon Hydro,simple
ionic-boost-premium-plant-nutrient,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,ionic-pk-boost-0-5-6-premium-plant-nutrient-2-5-gallon|ionic-pk-boost-0-5-6-premium-plant-nutrient-gallon|ionic-pk-boost-0-5-6-premium-plant-nutrient-qt,Ionic® PK Boost 0-5-6 Premium Plant Nutrient 2.5 Gallon|Ionic® PK Boost 0-5-6 Premium Plant Nutrient Gallon|Ionic® PK Boost 0-5-6 Premium Plant Nutrient Qt.,H Moon Hydro,simple
jungle-green,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,jungle-green-10-kg|jungle-green-17-15-17|jungle-green-2-5-kg,Jungle Green 10 kg|Jungle Green 17-15-17|Jungle Green 2.5 kg,H Moon Hydro,grouped|simple
light-switcher,3,create,no,0.00,Create new variant group,120v-120v-4-light-switcher|240v-120v-4-light-switcher|240v-240v-4-light-switcher,120V - 120V 4 Light Switcher|240V - 120v 4 Light Switcher|240V - 240V 4 Light Switcher,H Moon Hydro,simple
liquid-karma,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,liquid-karma|liquid-karma-gal|liquid-karma-qt,Liquid Karma|Liquid Karma Gal.|Liquid Karma Qt.,H Moon Hydro,grouped|simple
mag-drive-pump-gph,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,mag-drive-2-pump-250-gph|mag-drive-3-pump-350-gph|mag-drive-7-pump-700-gph,Mag Drive #2 Pump 250 gph|Mag Drive #3 Pump 350 gph|Mag Drive #7 Pump 700 gph,H Moon Hydro,simple
maxibloom,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,maxibloom-16-lb|maxibloom-2-2-lb|maxibloom-50-lb,MaxiBloom 16 lb|MaxiBloom 2.2 lb|MaxiBloom 50 lb,H Moon Hydro,simple
maxigro,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,maxigro-16-lb|maxigro-2-2-lb|maxigro-50-lb,MaxiGro 16 lb|MaxiGro 2.2 lb|MaxiGro 50 lb,H Moon Hydro,simple
mega-morpheus,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,mega-morpheus|mega-morpheus-gallon|mega-morpheus-quart,Mega Morpheus|Mega Morpheus Gallon|Mega Morpheus Quart,H Moon Hydro,grouped|simple
mesh-basket,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,3-75-mesh-basket|5-mesh-basket|6-mesh-basket,"3.75 Mesh Basket|5"" Mesh Basket|6"" Mesh Basket",H Moon Hydro,simple
mondi-super-saucer,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,mondi-super-saucer-10|mondi-super-saucer-12|mondi-super-saucer-14,"Mondi Super Saucer 10""|Mondi Super Saucer 12""|Mondi Super Saucer 14""",H Moon Hydro,simple
overdrive,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,overdrive|overdrive-1-gal|overdrive-2-5-gal,Overdrive|Overdrive (1 gal)|Overdrive (2.5 gal),H Moon Hydro,grouped|simple
pegasus-potion,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,pegasus-potion|pegasus-potion-gallon|pegasus-potion-quart,Pegasus Potion|Pegasus Potion Gallon|Pegasus Potion Quart,H Moon Hydro,grouped|simple
ph-down,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,ph-down-1-gal|ph-down-1-qt|ph-down-8-oz,pH Down 1 gal|pH Down 1 qt|pH Down 8 oz.,H Moon Hydro,simple
ph-up,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,ph-up-1-gal|ph-up-1-qt|ph-up-8-oz,pH-Up 1 gal|pH-Up 1 qt|pH-Up 8 oz,H Moon Hydro,simple
piranha-beneficial-fungi,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,piranha-beneficial-fungi|piranha-beneficial-fungi-130-g|piranha-beneficial-fungi-50-g,Piranha Beneficial Fungi|Piranha Beneficial Fungi (130 g)|Piranha Beneficial Fungi (50 g),H Moon Hydro,grouped|simple
plagron-power-roots,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,plagron-power-roots|plagron-power-roots-500-ml|plagron-power-roots-liter,Plagron Power Roots|Plagron Power Roots 500 ML|Plagron Power Roots Liter,H Moon Hydro,grouped|simple
plagron-royal-rush,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,plagron-royal-rush|plagron-royal-rush-1-liter|plagron-royal-rush-500-ml,Plagron Royal Rush|Plagron Royal Rush 1 Liter|Plagron Royal Rush 500 ML,H Moon Hydro,grouped|simple
plantmax-hps-conversion-lumens,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,plantmax-220w-hps-conversion-25000-lumens|plantmax-360w-hps-conversion-45000-lumens|plantmax-940w-hps-conversion-130000-lumens,"Plantmax 220W. HPS Conversion 25,000 lumens|Plantmax 360W. HPS Conversion 45,000 lumens|Plantmax 940W. HPS Conversion 130,000 lumens",H Moon Hydro,simple
plantmax-mh-conversion-lumens,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,plantmax-1000w-mh-conversion-110000-lumens|plantmax-400w-mh-conversion-36000-lumens|plantmax-600w-mh-conversion-57000-lumens,"Plantmax 1000W. MH Conversion 110,000 lumens|Plantmax 400W. MH Conversion 36,000 lumens|Plantmax 600W. MH Conversion 57,000 lumens",H Moon Hydro,simple
prop-o-gator,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,prop-o-gator-1-liter|prop-o-gator-4-liter|prop-o-gator-500-ml,Prop-O-Gator 1 liter|Prop-O-Gator 4 liter|Prop-O-Gator 500 ml,H Moon Hydro,simple
pure-blend-pro-bloom,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,pure-blend-pro-bloom|pure-blend-pro-bloom-gal|pure-blend-pro-bloom-qt,Pure Blend Pro Bloom|Pure Blend Pro Bloom Gal.|Pure Blend Pro Bloom Qt.,H Moon Hydro,grouped|simple
pure-blend-pro-grow,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,pure-blend-pro-grow|pure-blend-pro-grow-gal|pure-blend-pro-grow-qt,Pure Blend Pro Grow|Pure Blend Pro Grow Gal.|Pure Blend Pro Grow Qt.,H Moon Hydro,grouped|simple
pure-blend-pro-soil,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,pure-blend-pro-soil|pure-blend-pro-soil-gal|pure-blend-pro-soil-qt,Pure Blend Pro Soil|Pure Blend Pro Soil Gal.|Pure Blend Pro Soil Qt.,H Moon Hydro,grouped|simple
quick-roots-gel,3,create,no,0.00,Create new variant group,quick-roots-gel-2-oz|quick-roots-gel-4-oz|quick-roots-gel-8-oz,Quick Roots Gel 2 oz|Quick Roots Gel 4 oz|Quick Roots Gel 8 oz,H Moon Hydro,simple
rare-earth,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,rare-earth|rare-earth-1-5-lb|rare-earth-16-lb,Rare Earth|Rare Earth 1.5 lb|Rare Earth 16 lb,H Moon Hydro,grouped|simple
ripen,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,ripen-0-5-7-6|ripen-0-5-7-6-gallon|ripen-0-5-7-6-quarts,Ripen® 0.5-7-6|Ripen® 0.5-7-6 Gallon|Ripen® 0.5-7-6 Quarts,H Moon Hydro,grouped|simple
royal-black,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,royal-black|royal-black-1-liter|royal-black-4-liter,Royal Black|Royal Black 1 liter|Royal Black 4 liter,H Moon Hydro,grouped|simple
royal-gold,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,royal-gold|royal-gold-1-liter|royal-gold-4-liter,Royal Gold|Royal Gold 1 liter|Royal Gold 4 liter,H Moon Hydro,grouped|simple
sensizym,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,sensizym|sensizym-1-gal|sensizym-2-5-gal,Sensizym|Sensizym (1 gal)|Sensizym (2.5 gal),H Moon Hydro,grouped|simple
silica-blast,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,silica-blast|silica-blast-gal|silica-blast-qt,Silica Blast|Silica Blast Gal.|Silica Blast Qt.,H Moon Hydro,grouped|simple
silicium,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,silicium|silicium-100-ml|silicium-500-ml,SiLICIUM|SilICIUM 500 ml|Silicium 100 ML,H Moon Hydro,grouped|simple
silicium-bloom,3,create,no,0.00,Create new variant group,silicium-bloom|silicium-bloom-250-ml|silicium-bloom-500-ml,"SiLICIUM Bloom, liter|Silicium Bloom 250 ML|Silicium Bloom 500 ML",H Moon Hydro,simple
site-plug-of,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,2-in-site-plug-case-of-20|4-in-site-plug-case-of-10|6-in-site-plug-case-of-10,2 in. Site Plug (case of 20)|4 in. Site Plug (case of 10)|6 in. Site Plug (case of 10),H Moon Hydro,simple
solarmax-hps-lumens,3,create,no,0.00,Create new variant group,solarmax-1000w-hps-w-147000-lumens|solarmax-400w-hps-w-55000-lumens|solarmax-600w-hps-w-95000-lumens,"SolarMax 1000W. HPS w/ 147,000 Lumens|SolarMax 400W. HPS W/ 55,000 Lumens|SolarMax 600W. HPS W/ 95,000 Lumens",H Moon Hydro,simple
solarmax-mht-veg-conversion-lumens,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,solarmax-1000w-mht-veg-conversion-w-90000-lumens|solarmax-400w-mht-veg-conversion-w-32000-lumens|solarmax-600w-mht-veg-conversion-w-55000-lumens,"SolarMax 1000W. MHT veg/Conversion w/ 90,000 Lumens|SolarMax 400W. MHT veg/Conversion w/32,000 Lumens|SolarMax 600W. MHT veg/Conversion w/ 55,000 Lumens",H Moon Hydro,simple
special-od-high-flange-size-cfm,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,38-special-100-15-od-39-4-high-8-flange-size-840-cfm|38-special-50-15-od-26-high-6-flange-size-420-cfm|38-special-75-15-od-29-5-high-8-flange-size-600-cfm,"38 Special 100, 15"" OD, 39.4"" High, 8"" flange size, 840 CFM|38 Special 50, 15"" OD, 26"" High, 6"" flange size, 420 CFM|38 Special 75, 15"" OD, 29.5"" High, 8"" flange size, 600 CFM",H Moon Hydro,simple
tarantula-beneficial-bacteria,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,tarantula-beneficial-bacteria|tarantula-beneficial-bacteria-130-g|tarantula-beneficial-bacteria-50-g,Tarantula Beneficial Bacteria|Tarantula Beneficial Bacteria (130 g)|Tarantula Beneficial Bacteria (50 g),H Moon Hydro,grouped|simple
terpinator,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,terpinator|terpinator-0-0-4-gallon|terpinator-0-0-4-qt,Terpinator 0 - 0 - 4|Terpinator 0 - 0 - 4 Gallon|Terpinator 0 - 0 - 4 Qt.,H Moon Hydro,grouped|simple
tiger-bloom-liquid-plant-food,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,tiger-bloom-liquid-plant-food-1-gal|tiger-bloom-liquid-plant-food-1-qt|tiger-bloom-liquid-plant-food-2-8-4,Tiger Bloom Liquid Plant Food (1 gal)|Tiger Bloom Liquid Plant Food (1 qt)|Tiger Bloom Liquid Plant Food (2-8-4),H Moon Hydro,grouped|simple
voodoo-juice-root-booster,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,voodoo-juice-root-booster|voodoo-juice-root-booster-1-gal|voodoo-juice-root-booster-500-ml,VooDoo Juice Root Booster|VooDoo Juice Root Booster (1 gal)|VooDoo Juice Root Booster (500 ml),H Moon Hydro,grouped|simple
accurate-ph-remote-probe,2,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,accurate-ph-4-w-remote-probe|accurate-ph-4-w-remote-probe-2,Accurate pH 4 w/remote probe,H Moon Hydro,grouped|simple
aquashield,2,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,aquashield|aquashield-qt,AquaShield|AquaShield Qt.,H Moon Hydro,grouped|simple
aquaspinners,2,create,no,0.00,Create new variant group,aquaspinners|aquaspinners-2,AquaSpinners,H Moon Hydro,simple
athena-bloom-a,2,create,no,0.00,Create new variant group,athena-bloom-a-1-gallon|athena-bloom-a-1-gallon-2,Athena Bloom A - 1 Gallon|Athena Bloom A 1- Gallon,H Moon Hydro,simple
athena-camg,2,create,no,0.00,Create new variant group,athena-camg-1-gallon|athena-camg-2,Athena CaMg|Athena CaMg 1 Gallon,H Moon Hydro,simple
battery-backup,2,archive,no,1.00,Archive legacy single products; already covered in consolidated import,10a-120v-w-battery-backup|10a-240v-w-battery-backup,10A 120V w/battery backup|10A 240V w/battery backup,H Moon Hydro,simple
bcuzz-bio-nrg-bloom-c,2,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,bcuzz-bio-nrg-bloom-c|bcuzz-bio-nrg-bloom-c-1l,B'Cuzz BIO-NRG Bloom-C|B'Cuzz BIO-NRG Bloom-C 1L,H Moon Hydro,grouped|simple
bcuzz-bio-nrg-flavor-c,2,archive,no,1.00,Archive legacy single products; already covered in consolidated import,bcuzz-bio-nrg-flavor-c-1l|bcuzz-bio-nrg-flavor-c-5l,B'Cuzz BIO-NRG Flavor-C 1L|B'Cuzz BIO-NRG Flavor-C 5L,H Moon Hydro,simple
bcuzz-bio-nrg-growth-c,2,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,bcuzz-bio-nrg-growth-c|bcuzz-bio-nrg-growth-c-1l,B'Cuzz BIO-NRG Growth-C|B'Cuzz BIO-NRG Growth-C 1L,H Moon Hydro,grouped|simple
bcuzz-coco-nutrition-componet-a,2,archive,no,1.00,Archive legacy single products; already covered in consolidated import,bcuzz-coco-nutrition-componet-a-1l|bcuzz-coco-nutrition-componet-a-5l,B'Cuzz CoCo Nutrition Componet A 1L|B'Cuzz CoCo Nutrition Componet A 5L,H Moon Hydro,simple
bcuzz-coco-nutrition-componet-b,2,archive,no,1.00,Archive legacy single products; already covered in consolidated import,bcuzz-coco-nutrition-componet-b-1l|bcuzz-coco-nutrition-componet-b-5l,B'Cuzz CoCo Nutrition Componet B 1L|B'Cuzz CoCo Nutrition Componet B 5L,H Moon Hydro,simple
bcuzz-hydro-a,2,archive,no,1.00,Archive legacy single products; already covered in consolidated import,bcuzz-hydro-a-1l|bcuzz-hydro-a-5l,B'Cuzz Hydro A 1L|B'Cuzz Hydro A 5L,H Moon Hydro,simple
bcuzz-hydro-b,2,archive,no,1.00,Archive legacy single products; already covered in consolidated import,bcuzz-hydro-b-1l|bcuzz-hydro-b-5l,B'Cuzz Hydro B 1L|B'Cuzz Hydro B 5L,H Moon Hydro,simple
bcuzz-roxx-bimatrix-growing-slab-x-x,2,archive,no,1.00,Archive legacy single products; already covered in consolidated import,bcuzz-roxx-bimatrix-growing-slab-36-x-6-x-3|bcuzz-roxx-bimatrix-growing-slab-40-x-6-x-3,B'cuzZ Roxx Bimatrix Growing Slab 36 x 6 x 3|B'cuzZ Roxx Bimatrix Growing Slab 40 x 6 x 3,H Moon Hydro,simple
big-bloom-liquid-plant-food,2,create,no,0.00,Create new variant group,big-bloom-liquid-plant-food-1-gal|big-bloom-liquid-plant-food-1-qt,Big Bloom Liquid Plant Food (1 gal)|Big Bloom Liquid Plant Food (1 qt),H Moon Hydro,simple
big-bud-bloom-booster-powder,2,archive,no,1.00,Archive legacy single products; already covered in consolidated import,big-bud-bloom-booster-130g-powder|big-bud-bloom-booster-500g-powder,Big Bud Bloom Booster (130g powder)|Big Bud Bloom Booster (500g powder),H Moon Hydro,simple
block-cocos-nucifera,2,create,no,0.00,Create new variant group,block-cocos-nucifera-1-5-gal-8|block-cocos-nucifera-1-gal,"Block Cocos Nucifera 1 GAL|Block Cocos Nucifera 1.5 GAL 8""",H Moon Hydro,simple
bond-way-soil,2,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,bond-3-way-soil-meter|bond-3-way-soil-meter-2,Bond 3-Way Soil Meter,H Moon Hydro,grouped|simple
bucket-basket,2,archive,no,1.00,Archive legacy single products; already covered in consolidated import,10-in-bucket-basket|6-in-bucket-basket,10 in. Bucket Basket|6 in. Bucket Basket,H Moon Hydro,simple
bud-start-gm,2,archive,no,1.00,Archive legacy single products; already covered in consolidated import,bud-start-100-gm|bud-start-20-gm,Bud Start 100 gm|Bud Start 20 gm,H Moon Hydro,simple
can-duct-ply-premium-ducting-clamps,2,archive,no,1.00,Archive legacy single products; already covered in consolidated import,16-can-duct-3-ply-premium-ducting-w-clamps|18-can-duct-3-ply-premium-ducting-w-clamps,"16"" Can-Duct 3-ply Premium Ducting w/ clamps|18"" Can-Duct 3-ply Premium Ducting w/ Clamps",H Moon Hydro,simple
can-filter-ho-cfm-fan-combo-freight-shipping-only,2,create,no,0.00,Create new variant group,can-filter-100-w-8-ho-620-cfm-fan-combo-freight-shipping-only|can-filter-75-w-8-ho-559-cfm-fan-combo-freight-shipping-only,"Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY)|Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY)",H Moon Hydro,simple
carboload,2,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,carboload|carboload-1-gal,CarboLoad|CarboLoad (1 gal),H Moon Hydro,grouped|simple
cfl-plantmax-warm-tube-lumens,2,create,no,0.00,Create new variant group,t5-cfl-2-plantmax-warm-24w-3000k-tube-2280-lumens|t5-cfl-4-plantmax-warm-54w-3000k-tube-4800-lumens,"T5 CFL 2' Plantmax Warm 24W 3000K tube 2,280 lumens|T5 CFL 4' Plantmax Warm 54W. 3000K tube 4800 lumens",H Moon Hydro,simple
chm-greenpower-luminaires,2,create,no,0.00,Create new variant group,315-chm-3k-greenpower-luminaires|315-chm-4k-greenpower-luminaires,315 CHM 3K GREENPOWER LUMINAIRES|315 CHM 4K GREENPOWER LUMINAIRES,H Moon Hydro,simple
clonex-solution,2,archive,no,1.00,Archive legacy single products; already covered in consolidated import,clonex-solution-32oz|clonex-solution-gallon,Clonex Solution 32oz|Clonex Solution Gallon,H Moon Hydro,simple
com-waterproof-ec-tds-temp-combo,2,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,com-100-waterproof-ec-tds-temp-combo-meter|com-100-waterproof-ec-tds-temp-combo-meter-2,COM-100: Waterproof EC / TDS / Temp Combo Meter,H Moon Hydro,grouped|simple
cool-tube-with-reflector-socket-cord-long,2,archive,no,1.00,Archive legacy single products; already covered in consolidated import,6-in-cool-tube-with-reflector-socket-w-15-ft-cord-24-long|8-in-cool-tube-with-reflector-socket-w-15-ft-cord-24-long,"6 in. Cool Tube with reflector socket w/ 15 ft cord - 24"" long|8 in. Cool Tube with reflector socket w/ 15 ft cord - 24"" long",H Moon Hydro,simple
down-to-earth-fish-bone-meal,2,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,down-to-earth-fish-bone-meal-3-16-0|down-to-earth-fish-bone-meal-6-lb,Down To Earth Fish Bone Meal - 6 lb|Down To Earth Fish Bone Meal 3 - 16 - 0,H Moon Hydro,grouped|simple
