ID,SKU,Name,Published
63530,,Scietetics Ful V Tech Element Transfer System 15 Gallon,-1
63532,,Scietetics Ful V Tech Element Transfer System 55 Gallon,-1
63533,,Scietetics Ful V Tech Element Transfer System 2.5 Gallon,-1
63534,,Scietetics Ful V Tech Element Transfer System 5 Gallon,-1
63535,,Scietetics Ful V Tech Element Transfer System 255 Gallon,-1
70423,HMH-NUT-BCUG9V,Scietetics Ful V Tech Element Transfer System 15,-1
70424,HMH-NUT-33C8RQ,Scietetics Ful V Tech Element Transfer System 2.5,-1
70425,HMH-NUT-33C8LP,Scietetics Ful V Tech Element Transfer System 255,-1
70426,HMH-NUT-OU69GQ,Scietetics Ful V Tech Element Transfer System 5,-1
70427,HMH-NUT-BCUGDB,Scietetics Ful V Tech Element Transfer System 55,-1
71135,1692,Y-Connector 10x8x8,-1
71136,1694,Y-Connector 12x10x10,-1
71137,1693,Y-Connector 12x12x12,-1
71138,1687,Y-Connector 4x4x4,-1
71142,1688,Y-Connector 6x4x4,-1
71143,1689,Y-Connector 6x6x6,-1
71144,1690,Y-Connector 8x6x6,-1
71145,1691,Y-Connector 8x8x8,-1
67827,958,Classic 2000,-1
67830,951,Classic 300,-1
67831,952,Classic 350,-1
67832,953,Classic 400,-1
67835,954,Classic 600,-1
67836,955,Classic 900,-1
14671,hmh01261,EcoPlus 185 GPH,-1
14673,hmh01262,EcoPlus 264 GPH,-1
14674,hmh01263,EcoPlus 396 GPH,-1
14675,hmh01264,EcoPlus 633 GPH,-1
68258,914,EcoPlus 264 GPH,-1
71114,1126,Worm Gear Clamp 10,-1
71115,1125,Worm Gear Clamp 12,-1
71116,707,Worm Gear Clamp 4,-1
71117,708,Worm Gear Clamp 6,-1
71118,709,Worm Gear Clamp 8,-1
14032,hmh00745,Pre-Filter for Model Pro 50,-1
14034,hmh00747,Pre-Filter for Model Pro 75,-1
14035,hmh00748,Pre-Filter for Model Pro 100,-1
14036,hmh00749,Pre-Filter for Model Pro 125,-1
14092,hmh00792,Can-Fan high output 178 CFM,-1
14094,hmh00794,Can-Fan high output 440 CFM,-1
14096,hmh00796,Can-Fan high output 781 CFM,-1
14097,hmh00797,Can-Fan high output 971 CFM,-1
15095,hmh01584,UNO-2 Speed in line Blower 190 cfm,-1
15097,hmh01585,UNO-2 Speed in line Blower 440 cfm,-1
15098,hmh01586,UNO-2 Speed in line Blower 750 cfm,-1
15099,hmh01587,UNO-2 Speed in line Blower 845 cfm,-1
63858,,Scietetics MagCal 5 Gallon,-1
63859,,Scietetics MagCal 15 Gallon,-1
70438,HMH-NUT-1P7TJF,Scietetics MagCal 15,-1
70439,HMH-NUT-MUWES2,Scietetics MagCal 5,-1
67276,718,Backdraft Damper 10,-1
67277,715,Backdraft Damper 4,-1
67278,716,Backdraft Damper 6,-1
67279,717,Backdraft Damper 8,-1
13372,hmh00203,FloraDuo A 16,-1
13376,hmh00206,FloraDuo A 2.5,-1
13377,hmh00207,FloraDuo A 6,-1
13378,hmh00208,FloraDuo B 16,-1
13381,hmh00211,FloraDuo B 2.5,-1
13382,hmh00212,FloraDuo B 6,-1
13481,hmh00286,Holland Secret Micro 4L,-1
13482,hmh00287,Holland Secret Micro 10L,-1
13483,hmh00288,Holland Secret Micro 23L,-1
13489,hmh00293,Holland Secret Grow 4L,-1
13490,hmh00294,Holland Secret Grow 10L,-1
13491,hmh00295,Holland Secret Grow 23L,-1
13494,hmh00297,Holland Secret Bloom 4L,-1
13495,hmh00298,Holland Secret Bloom 10L,-1
13496,hmh00299,Holland Secret Bloom 23L,-1
14091,hmh00791,Can-Fan standard output 142 CFM,-1
14093,hmh00793,Can-Fan standard output 270 CFM,-1
14095,hmh00795,Can-Fan standard output 493 CFM,-1
13485,hmh00290,Holland Secret Micro H.W 4L,-1
13486,hmh00291,Holland Secret Micro H.W 10L,-1
14187,hmh00872,"Plantmax 430W. HPS High Output 58,000 lumens",-1
14190,hmh00875,"Plantmax 220W. HPS Conversion 25,000 lumens",-1
14191,hmh00876,"Plantmax 360W. HPS Conversion 45,000 lumens",-1
14506,hmh01124,"Plantmax 750W. HPS High Output 106,000 lumens",-1
14507,hmh01125,"Plantmax 940W. HPS Conversion 130,000 lumens",-1
15286,hmh01733,"Plantmax 1000W. 72K MH High Output 90,000 lumens",-1
70049,1505,"Plantmax 220W. HPS Conversion 25,000 lumens",-1
70050,1506,"Plantmax 360W. HPS Conversion 45,000 lumens",-1
14509,hmh01127,The Root Pouch 1 Gallon,-1
14511,hmh01128,The Root Pouch 2 Gallon,-1
14512,hmh01129,The Root Pouch 3 Gallon,-1
14514,hmh01131,The Root Pouch 7 Gallon,-1
14515,hmh01132,The Root Pouch 10 Gallon,-1
13407,hmh00232,FloraKleen 1,-1
13408,hmh00233,FloraKleen 2.5,-1
13409,hmh00234,FloraKleen 6,-1
13632,hmh00404,Bloom Natural 2.5,-1
13633,hmh00405,Bloom Natural 5,-1
13634,hmh00406,Bloom Natural 15,-1
13646,hmh00416,Mayan Microzyme 4,-1
13647,hmh00417,Mayan Microzyme 8,-1
13648,hmh00418,Mayan Microzyme 16,-1
14107,hmh00806,"Max-Fan, 675 CFM",-1
14109,hmh00807,"Max-Fan, 1023 CFM",-1
14110,hmh00808,"Max-Fan, 1709 CFM",-1
14327,hmh00979,pH-Up 8 oz,-1
14329,hmh00980,pH-Up 1 qt,-1
14330,hmh00981,pH-Up 1 gal,-1
14372,hmh01021,B-52 Vitamin (1 lt),-1
14374,hmh01022,B-52 Vitamin (1 ),-1
14375,hmh01023,B-52 Vitamin (2.5 ),-1
14379,hmh01026,Big Bud Bloom Booster (1 lt),-1
14380,hmh01027,Big Bud Bloom Booster (1 ),-1
14381,hmh01028,Big Bud Bloom Booster (2.5 ),-1
14424,hmh01060,Sensizym (1 lt),-1
14426,hmh01061,Sensizym (1 ),-1
14427,hmh01062,Sensizym (2.5 ),-1
14590,hmh01191,Mondi Super Saucer 10,-1
14591,hmh01192,Mondi Super Saucer 12,-1
14592,hmh01193,Mondi Super Saucer 14,-1
14614,hmh01212,pH Perfect Sensi Bloom part A (1 lt),-1
14615,hmh01213,pH Perfect Sensi Bloom part A (1 gal),-1
14616,hmh01214,pH Perfect Sensi Bloom part A (2.5 gal),-1
14617,hmh01215,pH Perfect Sensi Bloom part B (1 lt),-1
14618,hmh01216,pH Perfect Sensi Bloom part B (1 gal),-1
14619,hmh01217,pH Perfect Sensi Bloom part B (2.5 gal),-1
14620,hmh01218,pH Perfect Sensi Grow part A (1 lt),-1
14622,hmh01219,pH Perfect Sensi Grow part A (1 gal),-1
14623,hmh01220,pH Perfect Sensi Grow part A (2.5 gal),-1
14624,hmh01221,pH Perfect Sensi Grow part B (1 lt),-1
14625,hmh01222,pH Perfect Sensi Grow part B (1 gal),-1
14626,hmh01223,pH Perfect Sensi Grow part B (2.5 gal),-1
14905,hmh01439,SunBlaster 25 watt green Visual lamp-standard socket,-1
15254,hmh01704,Sunblaster 125W CF 2500k,-1
15255,hmh01705,Sunblaster 200W CF 6400k,-1
69772,2575,Noise Reduction Clamp 4,-1
69776,2576,Noise Reduction Clamp 6,-1
69777,2577,Noise Reduction Clamp 8,-1
70122,1144,Pre-Filter PRO 100,-1
70123,1145,Pre-Filter PRO 125,-1
70124,1146,Pre-Filter PRO 150,-1
70146,1137,PRO Filter 100,-1
70147,1138,PRO Filter 125,-1
70148,1139,PRO Filter 150,-1
13328,hmh00162,BioThrive Grow 2.5,-1
13951,hmh00672,BioThrive Grow 6,-1
13335,hmh00168,Hard Water Flora Micro 2.5,-1
13336,hmh00169,Hard Water Flora Micro 6,-1
13572,hmh00356,Humboldt Big Up Powder 5 lbs,-1
13573,hmh00357,Humboldt Big Up Powder 10 lbs,-1
13589,hmh00370,Humboldt Master B 2.5,-1
13590,hmh00371,Humboldt Master B 5,-1
13641,hmh00412,Flavor-Ful 2.5,-1
13642,hmh00413,Flavor-Ful 5,-1
13659,hmh00427,Myco Maximum Granular 8,-1
13662,hmh00429,Myco Maximum Granular 5 lbs,-1
13678,hmh00442,Humboldt Sticky Foliar Feed 16,-1
13680,hmh00443,Humboldt Sticky Foliar Feed 1,-1
13699,hmh00459,CalCarb Calcium Carbonate Foliar Spray 6,-1
13701,hmh00460,CalCarb Calcium Carbonate Foliar Spray 12,-1
13839,hmh00563,Garden Fungicide 32,-1
13841,hmh00564,Garden Fungicide 1,-1
13953,hmh00674,BioBud 2.5,-1
13954,hmh00675,BioBud 6,-1
13955,hmh00676,BioMarine 2.5,-1
13956,hmh00677,BioMarine 6,-1
13957,hmh00678,BioRoot 2.5,-1
13958,hmh00679,BioRoot 6,-1
13959,hmh00680,BioWeed 2.5,-1
13960,hmh00681,BioWeed 6,-1
13961,hmh00682,CaMg+ 2.5,-1
13962,hmh00683,CaMg+ 6,-1
13966,hmh00687,Rare Earth 1.5,-1
13969,hmh00689,Rare Earth 16,-1
14148,hmh00839,Screen Fitting (bag of 10),-1
70443,823,Screen Fitting (bag of 10),-1
14195,hmh00880,"T5 CFL Plantmax Warm 24W 3000K tube 2,280 lumens",-1
14198,hmh00882,T5 CFL Plantmax Warm 54W. 3000K tube 4800 lumens,-1
14233,hmh00910,Add a Lamp Hardware Kit (Trolley and mounting hardware),-1
66946,895,Add a Lamp Hardware Kit (Trolley and mounting hardware),-1
14266,hmh00934,4 Light Timer (120 V.),-1
14268,hmh00935,4 Light timer (240 V.),-1
14313,hmh00970,PPM-1500 TDS / 2.142 ms 8,-1
14314,hmh00971,PPM-1500 TDS / 2.142 ms 16,-1
14331,hmh00982,pH Up Dry 1.5 lb,-1
14333,hmh00984,pH Up Dry 16 lb,-1
14335,hmh00986,pH Down 1 qt,-1
14336,hmh00987,pH Down 1 gal,-1
14385,hmh01031,Bud Candy (1 lt),-1
14388,hmh01033,Bud Candy (2.5 ),-1
14392,hmh01036,CarboLoad (1 lt),-1
14394,hmh01037,CarboLoad (1 ),-1
14395,hmh01038,Final Phase (1 lt),-1
14397,hmh01039,Final Phase (1 ),-1
14415,hmh01052,Sensi Bloom part A (1 ),-1
14416,hmh01053,Sensi Bloom part A (2.5 ),-1
14431,hmh01065,Ultra-premium Connoisseur Part-A (1 lt),-1
14433,hmh01066,Ultra-premium Connoisseur Part-A (1 ),-1
14434,hmh01067,Ultra-premium Connoisseur Part-B (1 lt),-1
14435,hmh01068,Ultra-premium Connoisseur Part-B (1 ),-1
14539,hmh01152,FloraNectar Natural Sugar 1,-1
14540,hmh01153,FloraNectar Natural Sugar 2.5,-1
14609,hmh01208,pH Perfect Connoisseur part A (1 lt),-1
14611,hmh01209,pH Perfect Connoisseur part A (1 gal),-1
14612,hmh01210,pH Perfect Connoisseur part B (1 lt),-1
14613,hmh01211,pH Perfect Connoisseur part B (1 gal),-1
15112,hmh01596,Accurate pH 4 w/remote probe,-1
15113,hmh01597,Accurate pH 4 w/remote probe,-1
15385,hmh01808,Down To Earth Vegan Mix - 6,-1
15387,hmh01809,Down To Earth Vegan Mix - 25,-1
15389,hmh01811,Down To Earth Kelp Meal - 5,-1
15391,hmh01812,Down To Earth Kelp Meal - 20,-1
16621,hmh2011,Dyna-Gro Pro Tekt 1qt,-1
16622,hmh2012,Dyna-Gro Pro Tekt 1gal,-1
62610,,DLI-DIODE-Series-LED Toplighting LED Fixture (Long),-1
68055,HMH-LIT-HTZKKT,DLI-DIODE-Series-LED Toplighting LED Fixture (Long),-1
62622,,Botanicare Organicare True Earth Potting Mix (O.M.R.I.),-1
67499,HMH-GRO-8AOLV0,Botanicare Organicare True Earth Potting Mix (O.M.R.I.),-1
62703,,Athena Bloom B 1 Gallon,-1
67056,HMH-NUT-A5YX6V,Athena Bloom B 1,-1
62712,,Athena Stack 32 oz,-1
67168,HMH-NUT-YBAWYC,Athena Stack 32,-1
62719,,Athena Balance 1 Gallon,-1
67037,HMH-NUT-MOC4I8,Athena Balance 1,-1
62786,,Athena Cuts Rooting Gel Compound - 14oz,-1
67099,HMH-PRO-H7RVU6,Athena Cuts Rooting Gel Compound - 14oz,-1
63040,,E-Papillon 630 Watt LED,-1
68202,HMH-LIT-IM94UN,E-Papillon 630 Watt LED,-1
63074,,Spray-N-Grow Micronutrients 8 oz,-1
70582,HMH-NUT-O642LQ,Spray-N-Grow Micronutrients 8,-1
63373,,Silicium Bloom 500 ML,-1
63374,,Silicium Bloom 250 ML,-1
63866,,SiLICIUM mono si 250 ml,-1
63867,,SiLICIUM mono si 500 ml,-1
63885,,Multi 8 oz,-1
69669,HMH-NUT-K8L91R,Multi 8,-1
63901,,Block Cocos Nucifera 1 GAL,-1
67418,HMH-NUT-DZYP24,Block Cocos Nucifera 1,-1
63907,,Agrowlyte Stop PM 5 Gallon,-1
66978,HMH-NUT-U1Y8EA,Agrowlyte Stop PM 5,-1
66332,3015,D.T.E. LIQUID BLOOM 2-6-4 1GAL,-1
67937,3014,D.T.E. LIQUID BLOOM 2-6-4 1QT,-1
66377,3648,GREASE yellow Finisher 1 liter,-1
68816,3621,GREASE Yellow FINISHER 500,-1
66982,2302,Air Stone (FHD),-1
66983,907,Air Stone 4,-1
67891,2258,Covert Tank 33,-1
67892,2259,Covert Tank 66,-1
69742,3195,Netafim 2 Way Dripper Stake 48,-1
69743,3460,Netafim 4 Way 48 Drippes 25/pk,-1
69770,2527,NODOR Puck 6,-1
69771,2528,NODOR Puck 8,-1
69868,883,One Shot amendment 12,-1
69869,882,One Shot amendment 4,-1
70305,1369,Reservoir Heater 200w,-1
70306,1370,Reservoir Heater 300w,-1
70719,3032,SunBlaster/LED Strip Lights 24,-1
70720,3033,SunBlaster/LED Strip Lights 48,-1
70956,2626,UNO 2 speed fan 440CFM,-1
70961,2623,UNO 2 speed Fan 845cfm,-1
13172,hmh00010,FloraBlend,-1
13178,hmh00015,BioThrive,-1
13182,hmh00019,BioBud,-1
13183,hmh00020,BioMarine,-1
13185,hmh00022,BioWeed,-1
13186,hmh00023,CaMg+,-1
13187,hmh00024,Diamond Black,-1
13188,hmh00025,Diamond Nectar,-1
13191,hmh00028,Floralicious Plus,-1
13192,hmh00029,FloraNectar,-1
13193,hmh00030,Flora Shield,-1
13194,hmh00031,FloraKleen,-1
13195,hmh00032,KoolBloom,-1
13197,hmh00034,Rapid Start,-1
13210,hmh00047,B'Cuzz Growth Stimulator,-1
13213,hmh00050,B'Cuzz Root Stimulator,-1
13217,hmh00054,Royal Black,-1
13218,hmh00055,Royal Gold,-1
13220,hmh00057,Bud Boom,-1
13221,hmh00058,Bud Start,-1
13222,hmh00059,Carbo Blast,-1
13227,hmh00064,Suck it Up,-1
13229,hmh00066,Ton O Bud 0-10-6,-1
13234,hmh00071,Big Up Powder 0-33-23,-1
13235,hmh00072,Sea Cal 3-2-8,-1
13236,hmh00073,Sea Mag 0.2-0.2-3,-1
13237,hmh00074,Master A,-1
13238,hmh00075,Master B,-1
13241,hmh00078,Equilibrium Natural,-1
13242,hmh00079,Hydro-Deuce,-1
13243,hmh00080,Royal Flush,-1
13244,hmh00081,Ginormous,-1
13245,hmh00082,Grow Natural,-1
13246,hmh00083,Bloom Natural,-1
13247,hmh00084,Hum-Bolt,-1
13248,hmh00085,Flavor-Ful,-1
13249,hmh00086,Verde Growth Catalyst,-1
13250,hmh00087,Oneness 5-9-4,-1
13251,hmh00088,Mayan Microzyme,-1
13252,hmh00089,Prozyme,-1
13253,hmh00090,Myco Madness Soluble,-1
13254,hmh00091,Myco Maximum Granular,-1
13255,hmh00092,Humboldt Honey Hydro Carbs,-1
13309,hmh00144,ONA Liquid,-1
13310,hmh00145,ONA Gel,-1
13317,hmh00152,Plantacillin,-1
13888,hmh00609,Light Rail 5,-1
13905,hmh00626,Site Plugs,-1
13929,hmh00650,Max-Fan,-1
13965,hmh00686,Rare Earth,-1
14348,hmh00998,Can-Lite Filters,-1
14357,hmh01006,Bud Candy,-1
14358,hmh01007,Bud Factor X,-1
14359,hmh01008,CarboLoad,-1
14360,hmh01009,Final Phase,-1
14363,hmh01012,Nirvana,-1
14364,hmh01013,Overdrive,-1
14366,hmh01015,Rhino Skin,-1
14368,hmh01017,Sensizym,-1
14441,hmh01073,Grow Big Liquid Plant Food (6-4-4),-1
14442,hmh01074,Tiger Bloom Liquid Plant Food (2-8-4),-1
14508,hmh01126,Root Pouch,-1
14541,hmh01154,CALiMAGic,-1
14547,hmh01159,Pure Blend Pro Grow,-1
14548,hmh01160,Pure Blend Pro Bloom,-1
14549,hmh01161,Pure Blend Pro Soil,-1
14550,hmh01162,Hydroplex,-1
14551,hmh01163,Liquid Karma,-1
14552,hmh01164,AquaShield,-1
14553,hmh01165,Cal-Mag Plus,-1
14554,hmh01166,Clearex,-1
14555,hmh01167,Silica Blast,-1
14696,hmh01280,Dyna-Gro Pro Tekt,-1
14788,hmh01352,ONA Spray,-1
14802,hmh01362,Vitamino,-1
14814,hmh01371,Aphrodite's Extraction,-1
14818,hmh01374,Athena's Aminas,-1
14831,hmh01383,Bloom Khaos,-1
14835,hmh01386,Demeter's Destiny,-1
14839,hmh01389,Gaia Mania,-1
14844,hmh01393,Herculean Harvest,-1
14849,hmh01397,Hygeia's Hydration,-1
14853,hmh01400,Medusa's Magic,-1
14858,hmh01404,Mega Morpheus,-1
14862,hmh01407,Pegasus Potion,-1
14869,hmh01412,Tritan's Trawl,-1
14875,hmh01416,Super Sprouter Heat Mat,-1
14913,hmh01445,Decision,-1
14918,hmh01449,Equinox,-1
14925,hmh01453,Lightning Start,-1
14930,hmh01457,Ruby Ful#$%,-1
14935,hmh01461,Spring,-1
14940,hmh01465,Summer,-1
14946,hmh01470,Autumn,-1
14951,hmh01474,Winter Frost,-1
15022,hmh01527,PK APATITE,-1
15124,hmh01605,HydroDynamics IonicÂ® Grow 3 - 1 - 5 Premium Plant Nutrient,-1
15170,hmh01640,Green Sensation,-1
15195,hmh01658,Humboldt Nutrients S.I. Structural Integrity,-1
15233,hmh01688,plagron Hydro A&B,-1
15321,hmh01761,SiLICIUM,-1
15455,hmh01869,Sticky Thrip Leafminer Traps,-1
16700,HMH2080,Terpinator 0 - 0 - 4,-1
