SKU,Handle,Field,Woo Field,Suggested Value
hmh00006,gardening-indoors-with-cuttings,Body (HTML),Product description,"By George F. Van Patten and Alyssa F. Bust<br>  (5.5x8.5"", 96 pages, illustrated, index)  <br><br>  Cuttings are the fastest , most efficient way of reproducing a plant. By following a few easy steps you can enjoy many generations of a favorite plant. Included in the book is everything you'll need to know. How to control the environment for the cuttings, how to avoid diseases, choosing the right hormones and solutions, and even how to build a misting chamber. You can achieve 100% success rates, don't settle for less. Propagating plants can be very very inexpensive, only pennies per cutting. You will need to know the basics though. This book is for everyone, and is written in an easy to read way anyone can understand. Written to save you time and money."
hmh01010,grandma-enggys-h-2-1-lt,Body (HTML),Product description,"<p>Rich, Intense Nutrition Powerhouse for Your Plants<p>  Grandma’s Humic Acid is the concentrated organic extract of a rare vein of rich material called ""leonardite."" Filled with nutritional benefits for your plants, H-2 is the strongest, most effective humic you can get. When you use it during every phase of crop growth, H-2 creates optimum yielding potential for your plants."
hmh00003,gardening-indoors-with-soil-hydroponics,Body (HTML),Product description,"<b>from George Van Patten</b>  <br><br>  More than 670 full-color photos, drawings, charts and graphs illustrate every detail of this authoritative easy-to-understand book. Numerous simple cultivation solutions make it appealing to novice gardeners. Seasoned gardeners are also able to fi nd answers to all their questions. Discover how to achieve the biggest best yields.  <br><br>  ""For over twenty years, Gardening Indoors has been considered ‘The Bible’ of indoor growing. It is literally a one stop gardening encyclopedia of information for both the beginner to the very experienced gardener. If I were to buy only one book on indoor gardening, this would be the one.""  <br>  - Tom Alexander Growing Edge magazine"
hmh00009,gardening-indoors-with-rockwool,Body (HTML),Product description,"<b>By George F. Van Patten and Alyssa F. Bust</b><br>  (5.5"" x 8.5"", 128 pages, illustrated, index)<br><br>  If you haven't heard about rockwool, it's a very popular growing medium that is ideal for use in hydroponic systems, or as a general growing medium you could use for a potted plant. It's sterile, inert, porous, and can't be overwatered when good drainage exists. Most of Europe's fruit and vegetable crops are grown in rockwool, and it's used by commercial and hobby growers worldwide.  <br><br>  Included in the book are step by step instuctions on:  <ul>  <li>Learning to achieve 20-50% higher yields  <li>Setting up and maintaining a rockwool garden  <li>Choosing the right garden to meet your specific needs  <li>The latest tools to make using rockwool even easier  <li>Picking the right nutrients to feed your plants  <li>How to grow the absolute biggest flowers using rockwool  </ul>  <br><br>  This is the one-stop hobby resource guide for using rockwool. Start getting your taste of the the good life!  <br><br>  Whether you're a beginner, novice, or expert, there's something in this book for you. This book was also edited by garden experts from around the world, helping make a great book even better.  Order your copy today!!"
hmh00583,flowmaster-gallon-meter-3-8-in,Body (HTML),Product description,"The Flowmaster measures how many gallons of filtered water have gone through the system and alerts you when it fts time to change the filter. You can program in the filter capacity and when you reach the target number of gallons, the Flowmaster beeps. This is important for knowing when to change the pre-filter for the Merlin-Garden Pro. This unit also ensures your system runs at its peak efficiency for removing contaminants. Available in 3/8 in. quick connect for the Merlin-Garden Pro & Tall Boy and in 1/4 in. for the Small Boy."
hmh00014,florablend-6-gal,Body (HTML),Product description,"We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.    <ul>  <li>FloraBlend is a vegan product and contains no animal derived ingredients.  <li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.  <li>FloraBlend is very clean product that can be utilized in all hydroponic systems.  <li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.  </ul>"
hmh01713,eye-hortilux-e-start-metal-halide-lamps-2,Body (HTML),Product description,"<p>Eye Hortilux e-Start Metal Halide Lamps  Metal Halide (MH) Lamps   <li>If you’re looking for lamps to use consistently - from starting and growing plants up to the flowering and fruit production stages of plant growth - look to Metal Halide lamps.   The Metal Halide spectrum is the best possible when growing vegetation.     e-START METAL HALIDE     <li>Available Wattages: 250w, 400w, 1000w   HORTILUX™ e-Start Metal Halide is a new family of lamps designed for use on electronic/digital ballasts.     <li>The starting and operating characteristics of electronic/digital ballasts are different than traditional magnetic core & coil ballasts.   <li>This improves lamp performance over the life of the lamp while improving results in your indoor garden.   <li>e-START METAL HALIDE lamps feature:     <p>Wide vegetative-sustaining spectrum for beginning stages of plant growth.   <p>Extended Peak Spectral Output: the quality of the spectrum is maintained over a longer lamp life.   <p>Extended time between lamp replacements: saves money.   <p>Unique designs that work with electronic/digital ballasts.   <p>Ability to operate on pulse-start magnetic Core and Coil ballasts. e-START METAL HALIDE lamps:   QUALITY     <li>Are made in the USA.   <li>Feature the exclusive HORTILUX™ Spectrum.   <li>Are individually tested before they ship.   <li>Feature a one-year warranty.   <li>ENVIRONMENTALLY FRIENDLY   <li>100% Lead Free"
hmh00012,florablend-gal,Body (HTML),Product description,"We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.    <ul>  <li>FloraBlend is a vegan product and contains no animal derived ingredients.  <li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.  <li>FloraBlend is very clean product that can be utilized in all hydroponic systems.  <li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.  </ul>"
hmh00013,florablend-2-5-gal,Body (HTML),Product description,"We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.    <ul>  <li>FloraBlend is a vegan product and contains no animal derived ingredients.  <li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.  <li>FloraBlend is very clean product that can be utilized in all hydroponic systems.  <li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.  </ul>"
hmh00011,florablend-qt,Body (HTML),Product description,"We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.
<ul>
 	<li>FloraBlend is a vegan product and contains no animal derived ingredients.</li>
 	<li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.</li>
 	<li>FloraBlend is very clean product that can be utilized in all hydroponic systems.</li>
 	<li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.</li>
</ul>"
hmh00508,ebb-gro-monster-system-controller,Body (HTML),Product description,"Ebb Monster Controller Module is perfect for building our own Ebb Monster System to grow plants.

[embed]https://www.youtube.com/watch?v=uKALrLERFBQ[/embed]"
hmh00571,dual-diaphragm-air-pump,Body (HTML),Product description,"The General Hydroponics Dual Diaphragm air pump is the only air pump in the world that is manufactured exclusively for use with hydroponics systems. This high output pump (394 gph/ 24,800 cc/minute capacities) has four adjustable 1/4 in. outputs or valves that can be teed off to power up to twelve additional WaterFarm units. In addition, growers who use our Dual Diaphragm air pump can use it to reliably oxygenate their reservoir with air stones."
hmh00630,cyc-4p-repeat-cycle-timer,Body (HTML),Product description,"The CycleStat 4P repeat cycle timer has solved the age old problem of accurate short cycle timing. Perfect for plant zone environments, reptile habitats or any other application requiring automatic short cycle switching. No programming required. Easy to set and operate. Microprocessor time counter with adjustable frequency and duration. The CycleStat 4P timer has many uses. Only a few of them include: fogging or misting, spray stakes or drip system timing, air pumps, CO2 equipment and intake or exhaust fan control. The CycleStat may be set for interval and cycle of timed events. Interval is the time between the ""on"" and ""off"" cycles. The interval knob may be set from 5 minutes to 8 hours. Set this for desired time between functions. Cycle is the length of time that a specific function or condition must be maintained. Cycle may be set from 5 seconds to 30 minutes.  <p>  Automatic reset feature allows function synchronizing with other system controls. Turn the switch off and on again for manual operation. The CycleStat 4P has a built-in photosensor to defeat timing during darkness hours. Photosensor may be switched in or out as desired. Operates on 115V AC with 15A switching capacity.  <p>  The CycleStat 4P utilizes a duplex piggy-back power cord which provides a combination plug and receptacle design. Insert plug into 115V wall outlet and plug equipment into piggy back receptacle."
hmh00151,doktor-doom-spider-mite-knock-out,Body (HTML),Product description,"Doktor Doom® Spider Mite Knock Out® is a .20% pyrethrin formula. This formula is 19 times stronger in active ingredient pyrethrin than any soap based insecticides and 10 times stronger than any formulations that contain pyrethrin &amp; piperoynl Butoxide. Piperoynl Butoxide is a synergist which enhances the killing power of pyrethrin and it is not approved for organic gardening. Pyrethrin is approved for organic gardening with some restrictions - refer to OMRI (Organic Material Review Institute), for more information.

Unlike soap based products which need to be applied liberally to the plant in order to drown the insects, Doktor Doom® Spider Mite Knock Out® kills the pests on contact with just a light misting on the foliage.

Apply the Doktor Doom® Spider Mite Knock Out® to the underside of the leaves and then fog the room with a Doktor Doom® fogger. The smell of pyrethrin flushes out and eradicates pests on contact.
EPA Reg. No. 2724-568-72804"
hmh00652,co2d-0-5000-ppm-dual-zone-co2-controller,Body (HTML),Product description,"<ul>  <li>Controls the CO<sub>2</sub> levels in two zones (or tworooms) simultaneously.  <li>Review performance by reading through the integrated 24-hour data logger (minimum, maximum and average values for each hour of operation).  <li>Special operating mode to operate two zones with only 1 CO<sub>2</sub> monitor controller  <li>Zone remote sensors include 25-ft cables.  <li>Affordable alternative when operating multiple zones.  </ul>  <center><img border=0 width=318 height=406 src=images/grozone_co2d_diagram.gif></center>"
hmh00115,cocotek-planter-14-in,Body (HTML),Product description,"<b>Thick Walled Coir Pot</b>  <p>  CocoTek® Planters™ are attractive, durable, round coconut coir baskets about an inch thick.  <p>  The new planters from General Hydroponics work well in hanging baskets or as containers for any growing medium. CocoTek® Planters™ are an extremely sturdy and all-natural alternative to plastic, as they are 100% organic and biodegradable."
hmh01424,bud-ignitor-1-lt,Body (HTML),Product description,<p> Early Phase Budding Site and Bloom Booster. Jump your plants into bloom and see flowering sites in half the time!!    <p>BUD IGNITOR BENEFITS:<p>    <li>MAXIMUM YIELDS/MAXIMUM BUDDING SITES  <li>OPTIMIM FLORAL DEVELOPMENT  <li>SAVE TIME AND MONEY  <li>OPTIMIM FLOWERING  <li>OPTIMIM ESSENTIAL OILS  <li>MORE CROP CYCLES PER YEAR    <p>WHEN TO USE BUD IGNITOR: Use in the first two weeks of bloom phase.
hmh00615,bypass-hand-shears,Body (HTML),Product description,"OXO's Bypass Hand Shears have a hardened, steel cutting blade with non-stick coating, and soft, comfortable, non-slip grips to maximize cutting strength and power. A conveniently located locking switch is easily accessible by both lefties and righties, and 3/4 in. diameter cutting capacity makes these shears versatile.  <p>  <b>Features & Benefits</b>  <ul>  <li>Soft, comfortable, non-slip grips  <li>Hardened steel cutting blade with non-stick coating  <li>3/4 in. diameter cutting capacity  <li>Easy-to-use locking switch  </ul>"
hmh00581,big-boy,Body (HTML),Product description,"This filter offers big water purification. Whether gardeners connect it to their water main to filter all the water in their house, or use the optional Garden Hose Connection Kit to make it a stand-alone unit to fill their reservoirs, they will be able to enjoy clean water faster and at higher volumes than ever before! The Big Boy eliminates 99 percent of chlorine and over 95 percent of the sediment from the water, cycling seven gallons per minute with a 25,000-gallon capacity.

Includes:
<ul>
 	<li>A 20-inch, two-stage filter unit</li>
 	<li>Wall-mountable metal bracket</li>
 	<li>In/out pressure gauges</li>
 	<li>Filter wrench</li>
 	<li>One-year manufacturer fts warranty</li>
</ul>"
hmh00099,all-purpose-feeder-packs-20-ct,Body (HTML),Product description,"All-Purpose Feeder Packs 12-10-10 ALL PURPOSE FEEDER PAKS are polymer coated controlled release fertilizers that will supply your nutrients to your plants for up to 12 months. These environmentally safe, biodegradable packets are the most efficient means of providing a supplemental source of nutrients to new transplants, indoor potted plants, and other ornamentals. The placement and means of release, proprietary to RTI, and assures that less than 1% of the nutrients are lost to the environment and that 99% of nutrient source is taken up by your plants."
hmh01199,aquaspinners,Body (HTML),Product description,AquaSpinners 360 degree
hmh01224,bcuzz-booster-pack,Body (HTML),Product description,"Available for the first time: a trial size of all our world renowned Stimulants in one box. Atami Stimulants are Engineered to Steer your Crop for optimum results. Contains ,3- 100ml bottles, 1. -each of, Root , Growth, and Bloom Nutrient additives. Along with simple to use instructions.  <br><br>  Enjoy the benefits of using:  <br><br>  World Class products to produce World Class results!"
hmh01200,aquaspinners-2,Body (HTML),Product description,AquaSpinners 360 degree
hmh01201,air-tight-6-a-c-w-15-socket-set,Body (HTML),Product description,"<strong>6"" Air-Cooled / Safety Lens / Latched</strong>

The UNO 6 in. A/C Air-Tight is the finest air-coolable reflector available.

The UNO Air-Tight comes with built in 6 in. cooling flanges for super efficient, straight-through cooling capabilities. All ALUMINUM construction allows the UNO Air-Tight to be strong yet very light weight and it will never rust. The 6 in. UNO cooling flanges are silicon sealed, perfect for gardens utilizing supplemental CO2 ,LATCHED &amp; GASKET SEALED -Built to last a lifetime. It combines the high reflectivity of the mirror like finish of the polished aluminum with the excellent light dispersal qualities of a dimpled or hammertoned surface for light distribution without hot-spots. This is simply the BEST material to use for H.I.D. lighting reflectors. also includes a built-in 5KV socket and 15' cord set, as a result, no wiring is required. A tempered glass lens is standard with Gaskets seals and Latches for total Air-Tight control of heat issues, ease of cleaning and lamp replacment. The finest air cooled reflector on the market!

Dimensions: 22 in. long, 22 in. wide, 10 in. deep weight 16 lb."
hmh00567,2-heavy-duty-neoprene-collars-case-of-200,Body (HTML),Product description,"★200 Black Cloning collars in every package. Perfectly fits 2 inch net pots. Great for Hydroponic Plant Germination in DIY cloners and clone machines.
★Quality Neoprene Rubber, Water resistant and Weatherproof, NOT Foam, unlike other cloning collars in the market.
★Professional Cloning made EASY, more production for less amount of work!
★Made in USA, high quality materials, durable, and reusable unlike foam."
hmh01783,10ft-lamp-extention-power-cord,Body (HTML),Product description,<p>Extend the distance from-   <p>the Ballast to the Socket set by 10 ft.
hmh00621,1-1-4-reservoir-filter,Body (HTML),Product description,"1 1/4"" reservoir filter"
